category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Climate and Weather,iceland-volcanic-eruption-by-nov-15,iceland-volcanic-eruption-by-nov-15,0xb9a94d946986a43351b7008a254b7459fb75dd2d7b2cff793f13bfc736c085fc,Iceland volcanic eruption by Nov 15?,No,closed,2023-11-13T16:22:46.483Z,2023-11-15T00:00:00Z,2023-11-16 02:46:35+00,48285.7
Climate and Weather,will-the-chopsticks-catch-spacexs-super-heavy,will-the-chopsticks-catch-spacexs-super-heavy,0x90253525b201c9b7257bca40036c5cc9afb9ae709c4badfe99cc0ff5fae9dce7,Will the chopsticks catch SpaceX's Super Heavy?,No,closed,2024-11-15T19:55:02.316Z,2024-11-18T12:00:00Z,2024-11-20 00:15:06+00,604511
Climate and Weather,will-the-november-2024-temperature-increase-be-less-than-1pt20c,november-2024-temperature-increase-c,0xc0b0c6d7795453a6c2da700496583354384f012b79c53e98bc2d7fa91586348e,Will the November 2024 temperature increase be less than 1.20°C?,No,closed,2024-11-06T18:49:56.126902Z,2024-11-30T12:00:00Z,2024-12-10 19:21:59+00,595329
Climate and Weather,will-there-be-less-than-16-named-storms-during-atlantic-hurricane-season,how-many-named-storms-during-atlantic-hurricane-season-2024,0xa8b22d7d3402b9823aca8ba68fa9beee749049bf67b8efa0935fcb8963d5d357,Will there be less than 16 named storms during Atlantic Hurricane Season?,No,closed,2024-05-02T19:18:02.699Z,2024-12-01T12:00:00Z,2024-11-02 16:00:30+00,3.61894e+06
Climate and Weather,global-heat-increase-between-1pt22c-and-1pt24c-for-2024,global-heat-increase-2024,0x43905da101b102a1867fcb36b15b41b29282b568202f079152933e021cc2b8cf,Global heat increase between 1.22°C and 1.24°C for 2024?,No,closed,2024-08-28T20:33:06.236Z,2024-12-31T12:00:00Z,2025-01-10 19:37:21+00,9.46687e+06
Climate and Weather,iceland-volcanic-eruption-by-nov-30,iceland-volcanic-eruption-by-nov-30,0x5abbde9c0c4e0844438d66f9f94ad548f6bf591086f3de7ae124215a6c8e3429,Iceland volcanic eruption by Nov 30?,No,closed,2023-11-16T17:11:54.511Z,2023-11-30T00:00:00Z,2023-12-01 02:32:48+00,71412.1
Climate and Weather,will-five-or-more-spacex-starship-launches-successfully-reach-outer-space-in-2024,how-many-spacex-starship-launches-reach-space-in-2024,0xefc3ed55ea013e7f75ad53fa9670d704dba5428417d38a37232092f60ace44fd,Will five or more SpaceX Starship launches successfully reach outer space in 2024?,No,closed,2024-03-20T22:17:26.233Z,2024-12-31T12:00:00Z,2025-01-01 12:32:07+00,286410
Climate and Weather,will-the-october-2024-temperature-increase-be-greater-than-1pt40c,october-2024-temperature-increase-c,0xcfade890130c9156602dbc9589af4277b2480b674488e0b74534c14da057f7bb,Will the October 2024 temperature increase be greater than 1.40°C?,No,closed,2024-10-23T19:58:44.640512Z,2024-10-31T12:00:00Z,2024-11-08 19:58:14+00,453420
Climate and Weather,will-milton-make-landfall-as-a-category-5,milton-landfall-at-what-category,0xe92fb17880e1bc7ff13f25f5bfef59aca43691f5800fda43b4cec5e982fcc814,Will Milton make landfall as a category 5?,No,closed,2024-10-07T16:44:48.64426Z,2024-10-31T12:00:00Z,2024-10-10 03:49:52+00,559640
Climate and Weather,will-the-december-2024-temperature-increase-be-between-1pt30-1pt34c,december-2024-temperature-increase-c,0x4221fc378c148f0320a06d636d1335418207c23df410a54f98897b02c9cb7a21,Will the December 2024 temperature increase be between 1.30-1.34°C?,No,closed,2024-12-02T23:10:20.213283Z,2024-12-31T12:00:00Z,2025-01-10 19:37:37+00,618869
