category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Climate and Weather,will-the-november-2024-temperature-increase-be-greater-than-1pt39c,november-2024-temperature-increase-c,0xaf26a1f6b41e1642b3422d3134e536cbcebd99f4cd989c2722f56ab22449b77f,Will the November 2024 temperature increase be greater than 1.39°C?,No,closed,2024-11-06T19:01:00Z,2024-11-30T12:00:00Z,2024-12-10T19:17:21Z,464315
Climate and Weather,will-the-november-2024-temperature-increase-be-between-1pt35-1pt39c,november-2024-temperature-increase-c,0xc84c3451df32872d1167afe34c2406a6161bad495ec4732b37aee87074b9d06a,Will the November 2024 temperature increase be between 1.35-1.39°C?,No,closed,2024-11-06T18:56:37Z,2024-11-30T12:00:00Z,2024-12-10T19:12:31Z,383210
Climate and Weather,will-the-november-2024-temperature-increase-be-between-1pt30-1pt34c,november-2024-temperature-increase-c,0x242cae40e31fe67f49a98530c0d7ef59e9c7705caa47039128f0a35871912223,Will the November 2024 temperature increase be between 1.30-1.34°C?,Yes,closed,2024-11-06T18:56:09Z,2024-11-30T12:00:00Z,2024-12-10T19:17:27Z,246733
Climate and Weather,will-the-november-2024-temperature-increase-be-between-1pt25-1pt29c,november-2024-temperature-increase-c,0xf873b562a57f806b34aa30ecbcf37d61462bbf819e5fa5f2a04fe202bc1bca77,Will the November 2024 temperature increase be between 1.25-1.29°C?,No,closed,2024-11-06T18:54:29Z,2024-11-30T12:00:00Z,2024-12-10T19:17:15Z,308546
Climate and Weather,will-the-november-2024-temperature-increase-be-between-1pt20-1pt24c,november-2024-temperature-increase-c,0x3189e493d87b09525eced3aaae9bb48a9460cef9aa7e6b1c4ed3c4c2df8ffe6a,Will the November 2024 temperature increase be between 1.20-1.24°C?,No,closed,2024-11-06T18:53:53Z,2024-11-30T12:00:00Z,2024-12-10T19:21:51Z,555925
Climate and Weather,will-the-november-2024-temperature-increase-be-less-than-1pt20c,november-2024-temperature-increase-c,0xc0b0c6d7795453a6c2da700496583354384f012b79c53e98bc2d7fa91586348e,Will the November 2024 temperature increase be less than 1.20°C?,No,closed,2024-11-06T18:49:56Z,2024-11-30T12:00:00Z,2024-12-10T19:21:59Z,595329
Climate and Weather,megaquake-in-november,megaquake-in-november,0xa8c2c11505b78c289e2603ebc3b46ebb736a73302313da4dc042a3e3db38a9f6,Megaquake in November?,No,closed,2024-11-06T16:29:18Z,2024-11-30T12:00:00Z,2024-12-01T07:24:59Z,63269.5
Climate and Weather,2024-november-hottest-on-record,2024-november-hottest-on-record,0x96406c76970baa76db90cf64e7ed96c7f3f12012107a11ea770cf67b7e67451f,2024 November hottest on record?,No,closed,2024-11-06T16:25:11Z,2024-11-30T12:00:00Z,2024-12-10T18:14:01Z,1.73179e+06
Climate and Weather,will-the-october-2024-temperature-increase-be-greater-than-1pt40c,october-2024-temperature-increase-c,0xcfade890130c9156602dbc9589af4277b2480b674488e0b74534c14da057f7bb,Will the October 2024 temperature increase be greater than 1.40°C?,No,closed,2024-10-23T19:58:44Z,2024-10-31T12:00:00Z,2024-11-08T19:58:14Z,453420
Climate and Weather,will-the-october-2024-temperature-increase-be-between-1pt35-1pt40c,october-2024-temperature-increase-c,0x9c9b3923bac52ec0fb09a8257ba86552890660ccaa9082a7462b882f82762d9a,Will the October 2024 temperature increase be between 1.35-1.40°C?,No,closed,2024-10-23T19:58:19Z,2024-10-31T12:00:00Z,2024-11-08T20:02:38Z,95316.5
Climate and Weather,will-the-october-2024-temperature-increase-be-between-1pt29-1pt34c,october-2024-temperature-increase-c,0x690d3465e98bad7f46551129064c47c8306d9794052155a23e467b28a928ba15,Will the October 2024 temperature increase be between 1.29-1.34°C?,Yes,closed,2024-10-23T19:57:58Z,2024-10-31T12:00:00Z,2024-11-08T19:58:08Z,55049.8
Climate and Weather,will-the-october-2024-temperature-increase-be-between-1pt23-1pt28c,october-2024-temperature-increase-c,0xc7220901f4240c463dc30055759c5b986a47180cc8a1d2512f54606b7fe8fbca,Will the October 2024 temperature increase be between 1.23-1.28°C?,No,closed,2024-10-23T19:57:27Z,2024-10-31T12:00:00Z,2024-11-08T19:52:56Z,94761.2
Climate and Weather,will-the-october-2024-temperature-increase-be-between-1pt17-1pt22c,october-2024-temperature-increase-c,0xac445b1e86761cf36d9dee78ab5b7d5c8af8808cf0e70013b3e5a1db4a5462bc,Will the October 2024 temperature increase be between 1.17-1.22°C?,No,closed,2024-10-23T19:56:54Z,2024-10-31T12:00:00Z,2024-11-08T20:07:48Z,80341.9
Climate and Weather,will-the-october-2024-temperature-increase-be-less-than-1pt17c,october-2024-temperature-increase-c,0x9acf4f48c618ceca367f4a602e5be5762b3796ff38e572d2cfc1a8a0d83835c2,Will the October 2024 temperature increase be less than 1.17°C?,No,closed,2024-10-23T19:56:02Z,2024-10-31T12:00:00Z,2024-11-08T20:07:42Z,84655
Climate and Weather,category-5-hurricane-hits-us-before-election,category-5-hurricane-hits-us-before-election,0xfe93e51fb62a364b63ecedabdce6ec478e8305fe44c065cb58a4e12a0d4a1934,Category 5 hurricane hits US before election?,No,closed,2024-10-09T22:41:53Z,2024-11-04T12:00:00Z,2024-11-05T07:48:33Z,94457.3
Climate and Weather,will-head-of-fema-be-firedresign-before-november,will-head-of-fema-be-firedresign-before-november,0xa2917b49a0a3d574588acce9151306d267977c1b5d1b56d60c900355d54ceb5a,Will head of FEMA be fired/resign before November?,No,closed,2024-10-04T21:51:04Z,2024-10-31T12:00:00Z,2024-11-01T10:45:52Z,49636.6
Climate and Weather,megaquake-in-october,megaquake-in-october,0xb655a5eb8829d2aca283da63aa93084031dde0ce729dbe6f07f4fa50b16ce526,Megaquake in October?,No,closed,2024-10-01T18:19:19Z,2024-10-31T12:00:00Z,2024-11-01T06:50:07Z,75023.2
Climate and Weather,2024-october-hottest-on-record,2024-october-hottest-on-record,0x2cc32ede706a85ec4056aa91df09f962ab11c1c2cac92b3a7befd5fe0832e738,2024 October hottest on record?,No,closed,2024-09-30T15:26:23Z,2024-10-31T12:00:00Z,2024-11-08T18:52:20Z,837977
Climate and Weather,will-helene-make-landfall-at-category-4-or-stronger,helene-landfall-at-what-category,0x2d01c7f04a70b5197979c00e10d328424035f3ad0e201ce67d31da55749311d5,Will Helene make landfall at category 4 or stronger?,Yes,closed,2024-09-25T18:34:27Z,2024-10-15T12:00:00Z,2024-09-27T06:33:14Z,38138.7
Climate and Weather,will-helene-make-landfall-at-category-3,helene-landfall-at-what-category,0x6b17acd2f5f750e2a27bfad4e9324648673edd34e761257a88ca8e8cc693d95d,Will Helene make landfall at category 3?,No,closed,2024-09-25T18:34:06Z,2024-10-15T12:00:00Z,2024-09-27T06:33:04Z,41115.3
Climate and Weather,will-helene-make-landfall-at-category-2,helene-landfall-at-what-category,0x6a179e313f047d60b33a933a42666c2a13bf760af0bee73239e870757a715ed7,Will Helene make landfall at category 2?,No,closed,2024-09-25T18:33:44Z,2024-10-15T12:00:00Z,2024-09-27T06:33:20Z,17504.6
Climate and Weather,will-helene-make-landfall-at-category-1-or-weaker,helene-landfall-at-what-category,0x6f58285ccb345d90778644179f3d9e51445ea4bb4633851f83d72cd082610ba1,Will Helene make landfall at category 1 or weaker?,No,closed,2024-09-25T18:33:08Z,2024-10-15T12:00:00Z,2024-09-27T06:33:10Z,19830
Climate and Weather,will-there-be-more-than-14-named-storms-during-atlantic-hurricane-season,number-of-named-storms-during-atlantic-hurricane-season,0xdc38b041dac04feb5136d909c1b5e4912f538e851cd14eac48d2af5f95a07e6a,Will there be more than 14 named storms during Atlantic Hurricane Season?,Yes,closed,2024-09-17T21:20:53Z,2024-12-01T12:00:00Z,2024-10-19T18:37:03Z,94831.7
Climate and Weather,will-there-be-between-11-and-14-named-storms-during-atlantic-hurricane-season,number-of-named-storms-during-atlantic-hurricane-season,0x9b02d64879d44fa91b0026d431c131f6ea8798e1cf94e2421e7402975abd0777,Will there be between 11 and 14 named storms during Atlantic Hurricane Season?,No,closed,2024-09-17T21:20:25Z,2024-12-01T12:00:00Z,2024-10-19T18:53:09Z,57810
