category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Commodities,will-bitcoin-hit-100k-by-sunday-dec-22,will-bitcoin-hit-100k-by-sunday-dec-22,0x1d9a6336944cd6499d460540535d0d1d529003340403dbf7dfa565e95b05ffbd,Will Bitcoin hit $100k by Sunday?,No,closed,2024-12-20T22:18:07Z,2024-12-22T12:00:00Z,2024-12-23T07:03:07Z,2.75951e+06
Commodities,will-bitcoin-hit-100k-today-12-20-24,will-bitcoin-hit-100k-today-12-20-24,0x1d2ecf863d42d132b0a02251e78fe62f5832855bc0623f33e04bf555994896f1,Will Bitcoin hit $100k today?,No,closed,2024-12-20T17:41:32Z,2024-12-20T12:00:00Z,2024-12-21T07:12:45Z,424442
Commodities,bitcoin-above-97000-on-december-27,bitcoin-above-97000-on-december-27,0x979978268fd6693e4c7856ac93f1d6d6f23f8747109f6586160aa0022f85d480,"Bitcoin above $97,000 on December 27?",No,closed,2024-12-20T17:39:21Z,2024-12-27T12:00:00Z,2024-12-27T19:06:43Z,5.8242e+06
Commodities,ethereum-above-3400-on-december-27,ethereum-above-3400-on-december-27,0x94ce768de3b55e3411015b90737a7daf54f8e3614b929b380bead622195e5ec7,"Ethereum above $3,400 on December 27?",No,closed,2024-12-20T17:39:16Z,2024-12-27T12:00:00Z,2024-12-27T19:06:49Z,2.29317e+06
Commodities,solana-above-190-on-december-27,solana-above-190-on-december-27,0xe8c2b93ac2887b255cc0021631f5ee72e7045bfd22e9331c940c48ad2f6a3f6b,Solana above $190 on December 27?,No,closed,2024-12-20T17:39:06Z,2024-12-27T12:00:00Z,2024-12-27T19:06:53Z,1.19712e+06
Commodities,ripple-above-2pt20-on-december-27,ripple-above-2pt20-on-december-27,0xe180b9bb27e2c212890ba8444bc6956f8f681c89fbe0e420b24593ced304b25e,Ripple above $2.20 on December 27?,No,closed,2024-12-20T17:38:56Z,2024-12-27T12:00:00Z,2024-12-27T19:06:39Z,350457
Commodities,dogecoin-above-0pt30-on-december-27,dogecoin-above-0pt30-on-december-27,0x829aaebcfc364e80d3616d260f2936816f8b184793f419fdb17e414e5b53c830,Dogecoin above $0.30 on December 27?,Yes,closed,2024-12-20T17:38:46Z,2024-12-27T12:00:00Z,2024-12-27T19:11:55Z,189778
Commodities,will-bitcoin-dip-below-100k-by-tommorow,will-bitcoin-dip-below-100k-by-tommorow,0x7456d33d672a55a9d2ee738fc05b7936b45035f03320416b59035fe094f82f4f,Will Bitcoin dip below $100k by tomorrow?,Yes,closed,2024-12-18T21:05:53Z,2024-12-19T12:00:00Z,2024-12-19T04:13:46Z,117754
Commodities,pengu-market-cap-fdv-10b-one-day-after-launch,pengu-market-cap-fdv-one-day-after-launch,0x034e00691eb26f6023c35d196e4da700d440e39263957b54ee613b42bac0b9cc,$PENGU market cap (FDV) >$10b one day after launch?,No,closed,2024-12-17T01:22:00Z,2024-12-18T12:00:00Z,2024-12-18T17:21:42Z,37844
Commodities,pengu-market-cap-fdv-8-10b-one-day-after-launch,pengu-market-cap-fdv-one-day-after-launch,0x1120930b3e33361cabc4bc1a39c4506be6c7d25d04cf0c4e14d8573f2a5fe3fb,$PENGU market cap (FDV) $8-10b one day after launch?,No,closed,2024-12-17T01:21:30Z,2024-12-18T12:00:00Z,2024-12-18T17:37:34Z,24856.1
Commodities,pengu-market-cap-fdv-6-8b-one-day-after-launch,pengu-market-cap-fdv-one-day-after-launch,0x441da32d35e77fa66f3edb6e3c03f13dd1d5e33b8359d25a0c7fc4219c331839,$PENGU market cap (FDV) $6-8b one day after launch?,No,closed,2024-12-17T01:21:06Z,2024-12-18T12:00:00Z,2024-12-18T17:37:30Z,36846.8
Commodities,pengu-market-cap-fdv-4-6b-one-day-after-launch,pengu-market-cap-fdv-one-day-after-launch,0x39689d8b174ad92e8cda845b51453a303d7e1f0d74aa02a680a4a92fb93ad7be,$PENGU market cap (FDV) $4-6b one day after launch?,No,closed,2024-12-17T01:20:36Z,2024-12-18T12:00:00Z,2024-12-18T17:37:44Z,96842.8
Commodities,pengu-market-cap-fdv-2-4b-one-day-after-launch,pengu-market-cap-fdv-one-day-after-launch,0x3a88ec82865be0ccab8839d61774b60790972a551c1ac187949f7bbac693b42e,$PENGU market cap (FDV) $2-4b one day after launch?,Yes,closed,2024-12-17T01:20:07Z,2024-12-18T12:00:00Z,2024-12-18T17:21:46Z,92444.6
Commodities,pengu-market-cap-fdv-1-2b-one-day-after-launch,pengu-market-cap-fdv-one-day-after-launch,0x673bd5044033f3cdb77ed823ce2af1a69fb9f6b665919fa79969033600ba8ddc,$PENGU market cap (FDV) $1-2b one day after launch?,No,closed,2024-12-17T01:19:47Z,2024-12-18T12:00:00Z,2024-12-18T17:21:36Z,110161
Commodities,pengu-market-cap-fdv-1b-one-day-after-launch,pengu-market-cap-fdv-one-day-after-launch,0x6dab006adcf28d0f7ba4cbac4fbe95b8a139761453ec12cca698eecb8dd12ba1,$PENGU market cap (FDV) <$1b one day after launch?,No,closed,2024-12-17T01:19:11Z,2024-12-18T12:00:00Z,2024-12-18T17:37:40Z,87345.3
Commodities,pudgy-penguin-floor-price-above-25-eth-on-friday,pudgy-penguin-floor-price-above-25-eth-on-friday,0x1f34eb8d3807aab07178e5ef11c32b9b6a5889924b86c61559e959d0cfe4e94a,Pudgy Penguin floor price above 25 eth on Friday?,No,closed,2024-12-17T00:18:30Z,2024-12-20T12:00:00Z,2024-12-20T19:09:39Z,133557
Commodities,btc-dominance-down-by-friday,btc-dominance-down-by-friday,0x748a339a1a251f79baaae8310952e431851d5d1c18b3600ff38c7325fd2ed705,BTC dominance down on Friday?,No,closed,2024-12-16T19:35:58Z,2024-12-20T12:00:00Z,2024-12-21T03:10:52Z,175116
Commodities,will-binance-delist-pnut-by-friday,will-binance-delist-pnut-by-friday,0x72d78a6ad542beb7a52bfe337f16254cb0b66228f9364fddf5fc7176ba109506,Will Binance delist Pnut by Friday?,No,closed,2024-12-16T17:48:52Z,2024-12-20T12:00:00Z,2024-12-21T07:12:29Z,86134.9
Commodities,will-microstrategy-purchase-more-bitcoin-in-2024-dec-16,will-microstrategy-purchase-more-bitcoin-in-2024-dec-16,0xea2ff9d0ba315a4edc9755f46c00ec16bd916ffac0b0a6b571357d8f773dddaf,Will MicroStrategy purchase more Bitcoin in 2024?,Yes,closed,2024-12-16T17:02:55Z,2024-12-31T12:00:00Z,2024-12-23T15:08:55Z,968151
Commodities,will-fartcoin-hit-1b-fdv-in-2024,will-fartcoin-hit-1b-fdv-in-2024,0x36c5a771b82b68f910262aa80013ac6a05834addc449a5ad12d1ec73f81e892c,Will $Fartcoin hit $1b FDV in 2024?,Yes,closed,2024-12-13T22:39:55Z,2024-12-31T12:00:00Z,2024-12-19T09:32:38Z,103499
Commodities,will-ethereum-dip-to-3500pt00-by-march-31,what-price-will-ethereum-hit-by-march-31,0x93470dae43046f17fb3f8ab5e29b5db497f41dc815c3b1472b526aa0059dbf37,"Will Ethereum dip to $3,500.00 by March 31?",Yes,closed,2024-12-13T17:09:59Z,2025-03-31T12:00:00Z,2024-12-19T19:55:24Z,59017.3
Commodities,ripple-above-2pt40-on-december-20,ripple-above-2pt40-on-december-20,0x98b13e852f5b6dbe63836fe24c13e5dfefcf4ba2d13616a4ea90b246a472eb85,Ripple above $2.40 on December 20?,No,closed,2024-12-13T16:24:28Z,2024-12-20T12:00:00Z,2024-12-20T19:09:33Z,451831
Commodities,dogecoin-above-0pt40-on-december-20,dogecoin-above-0pt40-on-december-20,0xcf4498c1cbfdb7dcb264671e7275bfb06fafcb4faa6b18c53a5c8eebbacfa32b,Dogecoin above $0.40 on December 20?,No,closed,2024-12-13T16:24:08Z,2024-12-20T12:00:00Z,2024-12-20T19:04:05Z,89822.7
Commodities,solana-above-225-on-december-20,solana-above-225-on-december-20,0x64289ccf065892c754f0e2e6c0c1f9071317c966978666ba317cf7ec31b60af7,Solana above $225 on December 20?,No,closed,2024-12-13T16:24:04Z,2024-12-20T12:00:00Z,2024-12-20T19:04:07Z,1.20461e+06
Commodities,bitcoin-above-100000-on-december-20,bitcoin-above-100000-on-december-20,0x455d36c6d66605476a94cba6251f188c9cc228809481623ae84d35ed7b100cc5,"Bitcoin above $100,000 on December 20?",No,closed,2024-12-13T16:23:58Z,2024-12-20T12:00:00Z,2024-12-20T19:09:29Z,1.02024e+07
Commodities,ethereum-above-3900-on-december-20,ethereum-above-3900-on-december-20,0xed457bd0671658f36c2346877e29d0831e7c8ed3b2a7a1991b4e1c9fd26b8e30,"Ethereum above $3,900 on December 20?",No,closed,2024-12-13T16:23:54Z,2024-12-20T12:00:00Z,2024-12-20T19:04:13Z,3.09423e+06
