category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume,keywords
Commodities,will-trump-launch-a-coin-before-the-election,will-trump-launch-a-coin-before-the-election,0x70de1b06646805d289744df352ed58b5612fafb3d0322e483243c32cb110f8a7,Will Trump launch a coin before the election?,Yes,closed,2024-06-18T19:41:14.579Z,2024-11-04T12:00:00Z,2024-10-18T00:22:28Z,76899060.598799,bitcoin; ethereum; cryptocurrency; crypto; btc; eth; solana; token; blockchain; commodity
Commodities,will-bitcoin-hit-100k-in-november,will-bitcoin-hit-100k-in-november,0xb803598e76d5fb6841e1f4dec4adc2e6f43fab996eb2a552f9cccfc5938b15cb,Will Bitcoin hit $100k in November?,No,closed,2024-11-11T17:27:50.66Z,2024-11-30T12:00:00Z,2024-12-01T07:15:21Z,28587434.430255,bitcoin; ethereum; cryptocurrency; crypto; btc; eth; solana; token; blockchain; commodity
Commodities,ethereum-all-time-high-in-2024,ethereum-all-time-high-in-2024,0x5401278f7f9c9df79552148e2b280dea9ea91431a77c2c46686b8bec598970e7,Ethereum all time high in 2024?,No,closed,2024-02-12T22:33:41.667Z,2024-12-30T12:00:00Z,2025-01-01T07:37:52Z,19510179.2052032,bitcoin; ethereum; cryptocurrency; crypto; btc; eth; solana; token; blockchain; commodity
Commodities,ethereum-etf-approved-by-may-31,ethereum-etf-approved-by-may-31,0x4fdc8c72f3013001dccc152e318cb3fcb16da16c741816c3078a42947702ece5,Ethereum ETF approved by May 31?,Yes,closed,2024-01-09T21:52:14.513Z,2024-05-31T12:00:00Z,2024-05-24T00:14:40Z,13226512.327129,bitcoin; ethereum; cryptocurrency; crypto; btc; eth; solana; token; blockchain; commodity
Commodities,bitcoin-etf-approved-by-jan-15,bitcoin-etf-approved-by-jan-15,0xb36886bb0cf7cede4fd57fedbbbf80342ec76921d567fa9958275c22e1df04bd,Bitcoin ETF approved by Jan 15?,Yes,closed,2023-12-01T18:55:30.006Z,2024-01-15T00:00:00Z,2024-01-10T23:47:24Z,12622418.419238001,bitcoin; ethereum; cryptocurrency; crypto; btc; eth; solana; token; blockchain; commodity
Commodities,will-bitcoin-reach-110000-in-december,what-price-will-bitcoin-hit-in-december,0xc3af3780145b55e1c2357cb208565f2ab2986db46184929978b79d7536bbe6ed,"Will Bitcoin reach $110,000 in December?",No,closed,2024-12-02T16:36:27.096Z,2024-12-31T12:00:00Z,2025-01-01T07:22:12Z,10676794.972932,bitcoin; ethereum; cryptocurrency; crypto; btc; eth; solana; token; blockchain; commodity
Commodities,bitcoin-above-100000-on-december-20,bitcoin-above-100000-on-december-20,0x455d36c6d66605476a94cba6251f188c9cc228809481623ae84d35ed7b100cc5,"Bitcoin above $100,000 on December 20?",No,closed,2024-12-13T16:23:58.361534Z,2024-12-20T12:00:00Z,2024-12-20T19:09:29Z,10202409.081955,bitcoin; ethereum; cryptocurrency; crypto; btc; eth; solana; token; blockchain; commodity
Commodities,bitcoin-above-98000-on-december-6,bitcoin-above-98000-on-december-6,0x95474ea98c1e6a6bc501b952fad567a4228735fdda5f21aba306b7bd1ce3e089,"Bitcoin above $98,000 on December 6?",Yes,closed,2024-11-29T18:40:36.935922Z,2024-12-06T12:00:00Z,2024-12-06T19:24:58Z,10177786.150918,bitcoin; ethereum; cryptocurrency; crypto; btc; eth; solana; token; blockchain; commodity
Commodities,will-bitcoin-hit-100k-by-november-22,will-bitcoin-hit-100k-by-november-22,0x1f37446953386f655a6032c9a51c9cc552efa4c1b61c456bd40e1353423d7405,Will Bitcoin hit $100k today?,No,closed,2024-11-19T21:27:41.936Z,2024-11-22T12:00:00Z,2024-11-23T07:00:23Z,9846390.507191,bitcoin; ethereum; cryptocurrency; crypto; btc; eth; solana; token; blockchain; commodity
Commodities,will-bitcoin-hit-250k-in-2024,will-bitcoin-hit-250k-in-2024,0xbd3ed58e5472776516683cce181509b05bd07ef687997795d1cfb70fa7c4bc55,Will Bitcoin hit $250k in 2024?,No,closed,2024-03-06T21:27:27.777Z,2024-12-30T12:00:00Z,2025-01-01T07:37:40Z,9422713.94942905,bitcoin; ethereum; cryptocurrency; crypto; btc; eth; solana; token; blockchain; commodity
