category,market_ticker,series_ticker,event_ticker,title,resolution,status,open_time,close_time,settlement_ts,volume
Companies,SPACEXSTARSHIP-5-24AUG14,KXSPACEXSTARSHIP,SPACEXSTARSHIP-5,"Will SpaceX launch another Starship by Aug 14, 2024?",no,finalized,2024-06-17T12:00:00Z,2024-08-15T03:59:00Z,2024-08-15T16:18:00.489866Z,18730
Companies,SPACEXSTARSHIP-5-24JUL31,KXSPACEXSTARSHIP,SPACEXSTARSHIP-5,"Will SpaceX launch another Starship by Jul 31, 2024?",no,finalized,2024-06-11T21:00:00Z,2024-08-01T03:59:00Z,2024-08-01T16:23:00.644755Z,14125
Companies,SPACEXSTARSHIP-2-24JUN06,KXSPACEXSTARSHIP,SPACEXSTARSHIP-2,"Will SpaceX launch another Starship by Jun 6, 2024?",yes,finalized,2024-06-02T15:00:00Z,2024-06-07T03:59:00Z,2024-06-07T16:07:01.188048Z,5695
Companies,SPACEXSTARSHIP-2-24JUN14,KXSPACEXSTARSHIP,SPACEXSTARSHIP-2,"Will SpaceX launch another Starship by Jun 14, 2024?",yes,finalized,2024-05-12T14:00:00Z,2024-06-07T14:06:17.417898Z,2024-06-07T16:03:00.438144Z,11963
Companies,SPACEXSTARSHIP-2-24MAY14,KXSPACEXSTARSHIP,SPACEXSTARSHIP-2,"Will SpaceX launch another Starship by May 14, 2024?",no,finalized,2024-03-30T23:00:00Z,2024-05-15T03:59:00Z,2024-05-15T16:09:00.850223Z,8149
Companies,SPACEXSTARSHIP-2-24MAY31,KXSPACEXSTARSHIP,SPACEXSTARSHIP-2,"Will SpaceX launch another Starship by May 31, 2024?",no,finalized,2024-03-21T14:00:00Z,2024-06-01T03:59:00Z,2024-06-01T16:38:00.448203Z,25886
Companies,SPACEXSTARSHIP-2-24JUN30,KXSPACEXSTARSHIP,SPACEXSTARSHIP-2,"Will SpaceX launch another Starship by Jun 30, 2024?",yes,finalized,2024-03-21T14:00:00Z,2024-06-07T14:06:20.932081Z,2024-06-07T16:03:00.832604Z,11445
Companies,SPACEXSTARSHIP-2-24JUL31,KXSPACEXSTARSHIP,SPACEXSTARSHIP-2,"Will SpaceX launch another Starship by Jul 31, 2024?",yes,finalized,2024-03-21T14:00:00Z,2024-06-07T14:06:24.65131Z,2024-06-07T16:03:00.463066Z,4757
Companies,SPACEXSTARSHIP-24MAY31,KXSPACEXSTARSHIP,SPACEXSTARSHIP,"Will SpaceX launch another Starship by May 31, 2024?",no,finalized,2024-03-21T14:00:00Z,2024-06-01T03:59:00Z,2024-06-07T20:56:00.194497Z,0
Companies,SPACEXSTARSHIP-24APR14,KXSPACEXSTARSHIP,SPACEXSTARSHIP,"Will SpaceX launch another Starship by Apr 14, 2024?",yes,finalized,2024-03-06T17:00:00Z,2024-03-15T14:47:17.760226Z,2024-03-15T16:14:00.80077Z,234
Companies,SPACEXSTARSHIP-24MAR31,KXSPACEXSTARSHIP,SPACEXSTARSHIP,"Will SpaceX launch another Starship by Mar 31, 2024?",yes,finalized,2024-01-05T17:00:00Z,2024-03-15T14:47:14.358803Z,2024-03-15T16:12:00.305585Z,12334
Companies,SPACEXSTARSHIP-24MAR14,KXSPACEXSTARSHIP,SPACEXSTARSHIP,"Will SpaceX launch another Starship by Mar 14, 2024?",yes,finalized,2024-01-05T17:00:00Z,2024-03-15T03:59:00Z,2024-03-15T16:13:00.280662Z,63611
Companies,SPACEXSTARSHIP-24FEB29B,KXSPACEXSTARSHIP,SPACEXSTARSHIP,"Will SpaceX launch another Starship by Feb 29, 2024?",no,finalized,2024-01-05T17:00:00Z,2024-03-01T04:59:00Z,2024-03-02T01:38:00.503261Z,23970
Companies,SPACEXSTARSHIP-24FEB29,KXSPACEXSTARSHIP,SPACEXSTARSHIP,"Will SpaceX launch another Starship by Feb 29, 2024?",no,finalized,2024-01-02T18:45:00Z,2024-03-01T17:40:16.757052Z,2024-03-02T01:38:00.513148Z,0
Companies,SPACEXSTARSHIP-24JAN31,KXSPACEXSTARSHIP,SPACEXSTARSHIP,"Will SpaceX launch another Starship by Jan 31, 2024?",no,finalized,2023-12-19T21:45:00Z,2024-02-01T04:59:00Z,2024-02-02T01:25:00.545275Z,5584
Companies,SPACEXSTARSHIP-24FEB14,KXSPACEXSTARSHIP,SPACEXSTARSHIP,"Will SpaceX launch another Starship by Feb 14, 2024?",no,finalized,2023-12-19T21:45:00Z,2024-02-15T04:59:00Z,2024-02-16T14:07:00.420773Z,8325
Companies,TESLA-24-Q2-430000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,yes,finalized,2024-06-25T03:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:07:00.760343Z,13009
Companies,TESLA-24-Q2-410000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,yes,finalized,2024-06-25T03:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:07:00.775201Z,1900
Companies,TESLA-24-Q2-380000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,yes,finalized,2024-05-24T23:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:07:00.945342Z,811
Companies,TESLA-24-Q2-370000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,yes,finalized,2024-05-24T23:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:07:00.959636Z,856
Companies,TESLA-24-Q2-360000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,yes,finalized,2024-05-24T23:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:03:01.060188Z,73
Companies,TESLA-24-Q2-386810,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,yes,finalized,2024-04-02T13:20:00Z,2024-07-01T03:59:00Z,2024-07-02T17:07:01.150506Z,12405
Companies,TESLA-24-Q2-350000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,yes,finalized,2024-04-02T13:20:00Z,2024-07-01T03:59:00Z,2024-07-02T17:03:01.075396Z,3184
Companies,TESLA-24-Q2-500000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,no,finalized,2024-03-21T14:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:07:01.175072Z,2534
Companies,TESLA-24-Q2-480000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,no,finalized,2024-03-21T14:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:03:00.709645Z,3066
Companies,TESLA-24-Q2-460000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,no,finalized,2024-03-21T14:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:07:01.190528Z,13455
Companies,TESLA-24-Q2-440000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,yes,finalized,2024-03-21T14:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:07:01.21042Z,26476
Companies,TESLA-24-Q2-420000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,yes,finalized,2024-03-21T14:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:03:00.739639Z,25260
Companies,TESLA-24-Q2-400000,KXTESLA,TESLA-24-Q2,How many Tesla deliveries will there be this quarter?,yes,finalized,2024-03-21T14:00:00Z,2024-07-01T03:59:00Z,2024-07-02T17:03:00.749611Z,17249
Companies,TESLA-24-Q1-450000,KXTESLA,TESLA-24-Q1,How many Tesla deliveries will there be this quarter?,no,finalized,2024-03-19T14:00:00Z,2024-04-01T03:59:00Z,2024-04-02T15:54:00.617312Z,14507
Companies,TESLA-24-Q1-430000,KXTESLA,TESLA-24-Q1,How many Tesla deliveries will there be this quarter?,no,finalized,2024-03-19T14:00:00Z,2024-04-01T03:59:00Z,2024-04-02T15:54:00.626888Z,6645
Companies,TESLA-24-Q1-410000,KXTESLA,TESLA-24-Q1,How many Tesla deliveries will there be this quarter?,no,finalized,2024-03-19T14:00:00Z,2024-04-01T03:59:00Z,2024-04-02T15:54:00.697917Z,5538
