category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Companies,will-judy-shelton-be-confirmed-as-fed-chair,who-will-be-confirmed-as-fed-chair,0x14fd8ab261d14215058b77a9541a5013ccc3d3eb677276a9de54445a31acd194,Will Judy Shelton be confirmed as Fed Chair?,,open,2026-03-04T20:51:39.532369Z,2026-10-31T00:00:00Z,,1.40209e+07
Companies,will-nebius-group-be-acquired-before-2027-514,which-companies-will-be-acquired-before-2027,0x733a3bb1f78a42bdf60092866ceb931664fb1dae1d66d3a6d2cf7b72cec96400,Will Nebius Group be acquired before 2027?,,open,2025-11-24T17:49:17.883653Z,2026-12-31T00:00:00Z,,7.90679e+06
Companies,will-kevin-warsh-be-confirmed-as-fed-chair,who-will-be-confirmed-as-fed-chair,0x23dbb60ade08c2664ac29488325afbc0136735bc7beb9180d9c0cb72620b0b13,Will Kevin Warsh be confirmed as Fed Chair?,,open,2026-03-04T20:51:33.638853Z,2026-10-31T00:00:00Z,,7.43833e+06
Companies,will-scott-bessent-be-confirmed-as-fed-chair,who-will-be-confirmed-as-fed-chair,0xabe87ef65fbf14524375d7875fca53cab24de288efad25fc17269b7b7b580bb4,Will Scott Bessent be confirmed as Fed Chair?,,open,2026-03-04T20:52:10.270369Z,2026-10-31T00:00:00Z,,3.47383e+06
Companies,will-no-fed-rate-cuts-happen-in-2026,how-many-fed-rate-cuts-in-2026,0xd4e77ba6f29fc093509d24f508631abd445ecf506bbdc9c4c80e60256a318527,Will no Fed rate cuts happen in 2026?,,open,2025-09-29T22:24:45.988997Z,2026-12-31T00:00:00Z,,3.29582e+06
Companies,billionaire-one-time-wealth-tax-passes-in-california-election-2026,billionaire-one-time-wealth-tax-passes-in-california-election-2026,0x9345d5142a67f5541264c96515496affee02580f1c572680759eac9fd2a1588a,Billionaire one-time wealth tax passes in California election 2026?,,open,2025-10-24T19:49:02.306Z,2026-11-03T00:00:00Z,,2.98539e+06
Companies,will-michelle-bowman-be-confirmed-as-fed-chair,who-will-be-confirmed-as-fed-chair,0x2fc1e1bcf0aed6eebd7056480133ebea59d0c8666bd07f2498c14bf958f700ae,Will Michelle Bowman be confirmed as Fed Chair?,,open,2026-03-04T20:52:20.245Z,2026-10-31T00:00:00Z,,2.48871e+06
Companies,will-the-upper-bound-of-the-target-federal-funds-rate-be-4pt5-at-the-end-of-2026-139,what-will-the-fed-rate-be-at-the-end-of-2026,0x3d20f26deb9b9cc7e24e5e06c10234a722d93bac095ce1105c59b44b503078d7,Will the upper bound of the target federal funds rate be ≥ 4.5% at the end of 2026?,,open,2026-01-12T17:46:37.908382Z,2026-12-09T00:00:00Z,,2.38951e+06
Companies,will-perplexity-ai-be-acquired-before-2027-776,which-companies-will-be-acquired-before-2027,0x3d2fc07e08c46d8f642f56e5f8c08763df53a3f9d96073a117ce564368cace5f,Will Perplexity AI be acquired before 2027?,,open,2025-11-24T17:49:17.12121Z,2026-12-31T00:00:00Z,,2.37467e+06
Companies,will-11-fed-rate-cuts-happen-in-2026,how-many-fed-rate-cuts-in-2026,0x1adf074e048fa613f4ddbc0766088748a48d120a3a713b0183e219032a411ae3,Will 11 Fed rate cuts happen in 2026?,,open,2025-09-29T22:24:59.780736Z,2026-12-31T00:00:00Z,,2.19289e+06
