category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Economics,russian-ruble-110-to-1-usd-by-december-20,russian-ruble-110-to-1-usd-by-december-20,0x454b493622d78ed6034e877844e5e09d3fc4987580eaff6580ecd0c5fe2e50f8,Russian Ruble ₽110 to $1 USD by December 20?,No,closed,2024-12-12T19:25:36.383657Z,2024-12-20T12:00:00Z,2024-12-21 07:12:25+00,51752.3
Economics,us-recession-in-2024-1,us-recession-in-2024-1,0x6015c53496b7a099d952edf8d74f2d2e839aa09d2084df79be603e1db949da71,U.S. Recession in 2024?,No,closed,2024-08-05T03:07:54.099Z,2024-12-31T12:00:00Z,2025-01-01 09:01:58+00,875848
Economics,us-inflation-0pt3-from-march-to-april-2024,us-inflation-0pt3-from-march-to-april-2024,0x7df5350a4663cad59efea596589ea9fcfc5f5fecec8a107bbc9f2fd037165295,US inflation >0.3% from March to April 2024?,No,closed,2024-04-11T00:26:45.601Z,2024-05-15T12:00:00Z,2024-05-15 14:34:52+00,27823.3
Economics,unemployment-rate-over-4pt1-in-october,unemployment-rate-over-4pt1-in-october,0x9279e0735a365ab5fe94c671e172b9dc68e402fa9dab36db4d8e171785fcf40e,Unemployment rate over 4.1% in October?,No,closed,2024-10-08T15:42:23.143Z,2024-11-01T12:00:00Z,2024-11-01 14:40:31+00,517211
Economics,nyse-circuit-breaker-in-august,nyse-circuit-breaker-in-august,0xd2a3375842cbc1acf507760dd4d13fe0e91914db388ad39d4b1adbcffd2bb407,NYSE marketwide circuit breaker in August?,No,closed,2024-08-05T16:33:54.495966Z,2024-08-31T12:00:00Z,2024-08-30 22:00:37+00,139111
Economics,increase-in-ecb-interest-rates-after-2024-december-meeting,ecb-interest-rates-december-2024,0x49df40debf3655c8f0892f5b144da6d513a1998380f5218146f7dbc51014f9db,Increase in ECB interest rates after 2024 December meeting?,No,closed,2024-10-30T21:51:24.128113Z,2024-12-12T12:00:00Z,2024-12-12 16:38:29+00,399674
Economics,russian-ruble-120-to-1-usd-in-november,russian-ruble-120-to-1-usd-in-november,0x4c4108ebe701de6084996b27311977d30c67705e001ca7e663825c5f9c5200ea,Russian Ruble ₽120 to $1 USD in November?,No,closed,2024-11-27T19:25:22.038882Z,2024-11-30T12:00:00Z,2024-12-01 07:04:49+00,50655.2
Economics,annual-inflation-under-3-in-august,annual-inflation-under-3-in-august,0xc67c3fa991d07a953cb4a685daae00cc933d9532a121ff51edf9d6656d55c252,Annual inflation under 3% in August?,Yes,closed,2024-08-15T17:26:34.729271Z,2024-09-11T12:00:00Z,2024-09-11 14:34:13+00,215549
Economics,will-the-us-gain-less-than-100000-jobs-in-november,how-many-jobs-added-in-november,0x297fb23d5aa6470c0ac5c6d88601a971674d0e94f928d9c63be45d99f6cc0451,"Will the US gain less than 100,000 jobs in November?",No,closed,2024-11-12T21:36:02.044255Z,2024-12-06T12:00:00Z,2024-12-06 16:50:32+00,37558
Economics,longshoremens-east-coast-port-strike,longshoremens-east-coast-port-strike,0xff078d33765d535dc094403078875d3e5217943500434a047708911b13d02319,Longshoremen east coast strike by Oct 1?,Yes,closed,2024-09-19T23:57:09.06Z,2024-10-01T12:00:00Z,2024-10-01 16:01:22+00,54602.3
