category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Economics,brka-closes-above-600k-today,brka-closes-above-600k-today,0x2b9fd4af40e6794398b4999e8bc9375c033aa58fc81ad213531934366bf90e2d,Berkshire Hathaway closes above $600k today?,Yes,closed,2024-06-03T15:16:55Z,2024-06-03T12:00:00Z,2024-06-04T06:29:34Z,1406.73
Economics,us-inflation-0pt3-from-march-to-april-2024,us-inflation-0pt3-from-march-to-april-2024,0x7df5350a4663cad59efea596589ea9fcfc5f5fecec8a107bbc9f2fd037165295,US inflation >0.3% from March to April 2024?,No,closed,2024-04-11T00:26:45Z,2024-05-15T12:00:00Z,2024-05-15T14:34:52Z,27823.3
Economics,us-bank-failure-in-april,us-bank-failure-in-april,0x53ecf4c1775c7eea6c62aa8ad52d3db0edd48a71e0e4057dd1f5242c10c144d6,US bank failure in April?,Yes,closed,2024-04-02T20:26:22Z,2024-04-30T12:00:00Z,2024-04-27T00:46:23Z,56886.5
Economics,will-the-port-of-baltimore-not-reopen-by-july,when-will-port-of-baltimore-reopen,0x42c36feb2b1a5da60613c7439e42c990dab1aec79486307f4176186b533f379b,Will the Port of Baltimore reopen in August or later?,No,closed,2024-03-31T18:01:59Z,2024-07-31T12:00:00Z,2024-04-27T01:19:48Z,37979
Economics,will-the-port-of-baltimore-reopen-in-july,when-will-port-of-baltimore-reopen,0x531afbdb54c871c23f8ba5050861f812538ab8ed9833cb5ab1e2c03c9666ef19,Will the Port of Baltimore reopen in July?,No,closed,2024-03-31T18:01:42Z,2024-07-31T12:00:00Z,2024-04-27T01:14:50Z,6230.19
Economics,will-the-port-of-baltimore-reopen-in-june,when-will-port-of-baltimore-reopen,0x691fe21526d4da13dae0d47d7237dc121ea221f3b68751a9a47e3a33a72464c4,Will the Port of Baltimore reopen in June?,No,closed,2024-03-31T18:01:34Z,2024-06-30T12:00:00Z,2024-04-27T01:14:54Z,17770.3
Economics,will-the-port-of-baltimore-reopen-in-may,when-will-port-of-baltimore-reopen,0xde6bbaf490035aa3e6b1fcb5a1d241f04602721be3232c9209eb76411a50ef3c,Will the Port of Baltimore reopen in May?,No,closed,2024-03-31T18:01:25Z,2024-05-31T12:00:00Z,2024-04-27T01:19:42Z,10009
Economics,will-the-port-of-baltimore-reopen-in-april,when-will-port-of-baltimore-reopen,0xfe79c5aa2cfaf9c1a2d84bbc57fcfd126a6e4dc7645322a092b0ac2f263677ee,Will the Port of Baltimore reopen in April?,Yes,closed,2024-03-31T18:00:39Z,2024-04-30T12:00:00Z,2024-04-27T01:14:44Z,39181.3
Economics,portal-price-beneath-2pt50-one-week-after-launch,price-of-portal-one-week-after-launch,0xa65bf2a823b1687da50bb8bfc5cf09d3c65e73b5bc215367fba74ec685630e5f,Portal price beneath $2.50 one week after launch?,Yes,closed,2024-02-27T00:11:37Z,2024-03-31T00:00:00Z,2024-03-08T06:17:47Z,2420.75
Economics,portal-price-between-2pt50-2pt80-one-week-after-launch,price-of-portal-one-week-after-launch,0x265071e82dac2171dd97e06d19bd4f91b771db5433e9b0bbb7c34d1e7b8ac76c,Portal price between $2.50-2.80 one week after launch?,No,closed,2024-02-27T00:11:32Z,,2024-03-08T06:17:39Z,1581.9
Economics,portal-price-between-2pt80-3pt10-one-week-after-launch,price-of-portal-one-week-after-launch,0x4da7859e9ea30d46fd895fbba4c0eac123f215b15221ea663be074729f1ec84e,Portal price between $2.80-3.10 one week after launch?,No,closed,2024-02-27T00:11:28Z,2024-03-31T00:00:00Z,2024-03-08T06:30:39Z,1130
Economics,portal-price-between-3pt10-3pt40-one-week-after-launch,price-of-portal-one-week-after-launch,0x38374a177a31e38538ddcb7f96aba4cd80b10f600e023db0d1b0aa752ddd86e9,Portal price between $3.10-3.40 one week after launch?,No,closed,2024-02-27T00:11:23Z,2024-03-31T00:00:00Z,2024-03-08T06:33:29Z,1033
Economics,portal-price-above-3pt40-one-week-after-launch,price-of-portal-one-week-after-launch,0x909f398561f040a7111a25f4bc88be186646b7f095f7e97460264e5a9c54496c,Portal price above $3.40 one week after launch?,No,closed,2024-02-27T00:11:18Z,2024-03-31T00:00:00Z,2024-03-08T06:32:37Z,3789.03
