category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Economics,will-the-official-usd-to-ars-exchange-rate-be-between-1900pt00-and-1999pt99-at-the-end-of-december-2026,argentina-official-usd-exchange-rate-end-of-2026-higher-brackets,0xf64f0c63a95f13006f1feddee78fb1cc09fcd021dce68f5b5190a479be64484b,Will the official USD to ARS exchange rate be between 1900.00 and 1999.99 at the end of December 2026?,,open,2026-01-26T21:51:43.12164Z,2026-12-31T00:00:00Z,,11081.6
Economics,canada-recession-before-2027,canada-recession-before-2027,0x01677ae80095732d69ef484b859460b69d21714dd370b9e4f377469c35fac05d,Canada recession before 2027?,,open,2025-11-10T17:58:42.451Z,2026-12-31T00:00:00Z,,64459.7
Economics,will-the-eurozones-2026-annual-inflation-be-between-1pt9-and-2pt1,eurozone-2026-annual-inflation,0xddb02d336f907bf510b59f13a9a5fb3e5dd92ff1a967fc63acf47e95a57fdbe6,Will the Eurozone's 2026 Annual Inflation be between 1.9% and 2.1%?,,open,2026-01-22T00:27:55.048632Z,2027-01-19T00:00:00Z,,2702.17
Economics,will-the-april-2026-unemployment-rate-be-4pt4,april-unemployment-rate-372,0x6a0060911cc9c2d139607de13ba928b43735ea95d245fa72535ccc126a48488e,Will the April 2026 unemployment rate be 4.4%?,,open,2026-04-03T22:59:02.773352Z,2026-05-08T00:00:00Z,,5359.73
Economics,will-the-bank-of-brazil-increase-the-selic-rate-after-april-2026-meeting,bank-of-brazil-decision-in-april,0x42f54363694f82ef6e4de7831203dfd4b1cbd84d6dfdb6fa43496d0437f96304,Will the Bank of Brazil increase the Selic rate after April 2026 meeting?,,open,2026-01-31T00:07:13.643Z,2026-04-28T00:00:00Z,,162417
Economics,will-the-fed-pausecutcut-in-the-next-three-decisions-maraprjun,fed-decisions-mar-jun,0x22ed0a1f029b7ca62fee0d6b759b502d20967348b627984478679d4ee7f0f1e3,Will the Fed Pause–Cut–Cut in the next three decisions (Mar–Apr–Jun)?,,open,2026-01-29T22:21:42.813047Z,2026-06-17T00:00:00Z,,511825
Economics,will-the-official-usd-to-ars-exchange-rate-be-1600pt00-or-higher-at-the-end-of-december-2026,argentina-official-usd-exchange-rate-end-of-2026,0xdc5cd3816f6273546e45c0db4cf10b6788119a5f28a7148fe3471a83d6360ca7,Will the official USD to ARS exchange rate be 1600.00 or higher at the end of December 2026?,,open,2026-01-21T15:28:07.486144Z,2026-12-31T00:00:00Z,,1357.25
Economics,us-defaults-on-debt-by-2027,us-defaults-on-debt-by-2027,0x5b9cb2fbdfb50eae19a1fdd228487ff797fab1539a1e74565b5e6ad3b586368b,US defaults on debt by 2027?,,open,2025-11-05T19:50:37.331Z,2026-12-31T00:00:00Z,,14769.3
Economics,will-a-dozen-eggs-cost-between-2pt002pt25-in-april-885-482,price-of-dozen-eggs-in-april-799,0xed213c5fcc73730cddd1b48055a86ce4b77a340adfea012ff7f04c05f6144bcf,Will a dozen eggs cost between $2.00–2.25 in April?,,open,2026-04-10T20:53:33.013512Z,2026-05-12T00:00:00Z,,3016.17
Economics,will-kevin-warsh-say-labor-during-nomination-hearing,what-will-kevin-warsh-say-during-senate-nomination-hearing,0x0980a5dcfeb93392cff05ee3fef5e510c15abf7b46fdfe2a0235173d4a5533ba,"Will Kevin Warsh say ""Labor"" during Nomination Hearing?",,open,2026-04-20T18:33:33.506569Z,2026-04-21T00:00:00Z,,
Economics,will-us-crude-oil-reserves-fall-to-200m-by-may-1,will-us-crude-oil-reserves-fall-to-by-may-1,0x01c034e3f5b0a9b309da370d77e2f8fad7982f477fc373bad601edb8a4391886,Will US crude oil reserves fall to 200M by May 1?,,open,2026-03-13T18:08:55.428691Z,2026-05-01T00:00:00Z,,146397
Economics,will-the-fed-decide-differently-in-the-next-three-decisions-janmarapr,fed-decisions-jan-apr,0x951fda6a6baf97f16d903534095b84dfb20ea35cdd9a35e6854f18f47d6ec69a,Will the Fed decide differently in the next three decisions (Jan–Mar–Apr)?,,open,2025-12-16T19:37:09.032143Z,2026-04-29T00:00:00Z,,278325
Economics,will-usd-fall-to-1pt3m-iranian-rials-by-april-30,will-usd-hit-iranian-rials-by-april-30,0xcc7268859768e6b3c8a5e4961a81d1423e8ec621c1efa8bde1195c8b567b5e26,Will USD fall to 1.3M Iranian rials by April 30?,,open,2026-03-27T23:24:15.333429Z,2026-04-30T00:00:00Z,,25868.3
Economics,will-brazils-q1-2026-gdp-growth-rate-yoy-be-less-than-0pt7,brazil-gdp-growth-in-q1-2026,0xa110090e00b35b4491cf88010fc27306353029900b1a8776c6e224d5edc6d095,Will Brazil’s Q1 2026 GDP growth rate (YoY) be less than 0.7%?,,open,2026-03-23T23:19:30.69612Z,2026-05-29T00:00:00Z,,13938.2
Economics,will-ground-beef-hit-8-per-pound-in-2026,will-ground-beef-hit-in-2026,0x4d92632a8f30a2c1bd7cfca50093715f6270542c681466483c9f3193be15cda0,Will ground beef hit $8 per pound in 2026?,,open,2026-04-03T15:13:17.254865Z,2026-12-31T00:00:00Z,,1424.84
Economics,will-us-unemployment-reach-at-least-5pt5-in-2026,how-high-will-us-unemployment-go-in-2026,0x21a83ad85d5579df54f4659abf1a4e7722156b0b04204e77ecfa6c3533ceb5e5,Will US unemployment reach at least 5.5% in 2026?,,open,2026-01-02T18:54:51.66448Z,2026-01-10T00:00:00Z,,180606
Economics,2k-container-ship-transits-of-suez-canal-in-h1-2026,2k-container-ship-transits-of-suez-canal-in-h1-2026,0x90c9f679e2f272caf121b7f5ec4994525cbe5887531423110783308053a1fbd5,2k+ container ship transits of Suez Canal in H1 2026?,,open,2025-11-25T22:00:00.444254Z,2026-06-30T00:00:00Z,,135477
Economics,will-the-fed-pausepausepause-in-the-next-three-decisions-aprjunjul,fed-decisions-apr-jul,0x647fe897e10ecde7f5bf00b420cd00b76634b7de8830ae683136c9d3102c5532,Will the Fed Pause–Pause–Pause in the next three decisions (Apr–Jun–Jul)?,,open,2026-03-24T23:47:58.419009Z,2026-07-29T00:00:00Z,,1400.75
Economics,will-the-patek-index-hit-112000-high-by-april-30,will-patek-prices-hit-by-april-30,0xf0f47a3d151af83a57367bf37906efb5ca1d86c0becd984c4bd83b439ec74c9d,"Will the Patek Index hit $112,000 (HIGH) by April 30?",,open,2026-03-17T01:21:36.856799Z,2026-04-30T00:00:00Z,,30255.1
Economics,will-trump-reduce-the-deficit-before-2027,will-trump-reduce-the-deficit-before-2027,0xe0acd0255dbd9274d22d8c1b226c9a2b60bad9098507ce8e7d72dede580cd57a,Will Trump reduce the deficit before 2027? ,,open,2025-11-05T19:13:55.33Z,2026-12-31T00:00:00Z,,548.042
Economics,will-inflation-reach-more-than-4-in-2026-669,how-high-will-inflation-get-in-2026,0x1f61db83c47fc787f44997af53d517cc4775e813b169d0b8ae2ad3bff316d052,Will inflation reach more than 4% in 2026?,,open,2025-11-13T21:32:49.982Z,2026-12-31T00:00:00Z,,134328
Economics,will-canada-have-the-highest-unemployment-rate-since-2016-this-year,will-canada-have-the-highest-unemployment-rate-since-2016-this-year,0x132a28d477e53645301b847d71fd1ab73655bf54c72b0d759fdd351480781d6c,Will Canada have the highest unemployment rate since 2016 this year?,,open,2026-01-29T21:20:37.087634Z,2027-02-15T00:00:00Z,,5861.87
Economics,will-the-bank-of-russia-increase-the-key-rate-after-the-april-meeting,bank-of-russia-decision-in-april,0xfcd5f8607f103a97a2637d6937e41110fdb95867190220309f8da8902f60f5b2,Will the Bank of Russia increase the key rate after the April Meeting?,,open,2026-02-13T22:03:12.9294Z,2026-04-24T00:00:00Z,,77281.2
