category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Elections,will-stancil-wins-minnesota-61a-house-primary,will-stancil-wins-minnesota-61a-house-primary,0x18d4d72d35bd90c4e958bf872c514682651b24badb966ba65fba979ed718db07,Will Stancil wins Minnesota House Democratic Primary?,No,closed,2024-06-10T19:52:58.799Z,2024-08-13T12:00:00Z,2024-08-14 09:35:31+00,68734.4
Elections,house-control-after-2024-election,house-control-after-2024-election,0x1b43e21dc696e34154ba0d0a9b351264a86d773bf381ffd0eb5d2124ee783b33,House control after 2024 election?,Republican,closed,2024-02-21T22:15:29.648Z,2024-11-05T00:00:00Z,2024-11-22 02:57:04+00,7.9675e+06
Elections,will-2-of-votes-go-to-3rd-party-candidates-in-us-election,will-2-of-votes-go-to-3rd-party-candidates-in-us-election,0x38bc6b9fbc7f22b58a9b83330709e2fbb15ddbed7f2277831c8c3df0ee20475b,Will ≥2% of votes go to 3rd Party candidates?,Yes,closed,2024-10-24T22:10:05.873Z,2024-11-05T12:00:00Z,2024-12-17 21:23:07+00,9.87074e+06
Elections,virginia-state-legislature-will-republicans-gain-full-control,virginia-state-legislature-will-republicans-gain-full-control,0x0845b2e50070ce4b4223816ff2faf757613a8fa91880a44ce0c7cf35d47dd143,Virginia State Legislature: Will Republicans gain full control?,No,closed,2023-11-06T16:58:38.038Z,2023-11-07T00:00:00Z,2023-11-08 09:32:08+00,34679.5
Elections,which-party-will-control-the-us-senate-after-the-2024-election,which-party-will-control-the-us-senate-after-the-2024-election,0xda60399dab4f9cb4dc21b8a7e46fc3e9a141e8da6a238258fff293a16eee7ce3,Senate control after 2024 election?,Republicans,closed,2023-09-19T21:54:50.565Z,2024-11-04T12:00:00Z,2024-11-08 19:08:11+00,3.43623e+06
Elections,which-party-will-win-the-2024-united-states-presidential-election,which-party-will-win-the-2024-united-states-presidential-election,0x26ee82bee2493a302d21283cb578f7e2fff2dd15743854f53034d12420863b55,Which party wins 2024 US Presidential Election?,Republican,closed,2022-01-12T21:22:33.938Z,2024-11-08T12:00:00Z,2024-11-14 23:58:16+00,8.82832e+06
Elections,ny-3-special-election-for-santos-seat-suozzi-d-vs-pilip-r,ny-3-special-election-for-santos-seat-suozzi-d-vs-pilip-r,0x48462e8656a17aa1b3f3989121a3c276e1ba2ebc8c9e4b10dea5a33436721a08,NY-3 Special Election for Santos seat: Suozzi (D) vs. Pilip (R),Suozzi,closed,2024-01-17T21:39:26.342Z,2024-02-13T00:00:00Z,2024-02-14 07:46:06+00,642843
Elections,will-gd-win-a-majority-in-georgia-parliamentary-election,will-gd-win-a-majority-in-georgia-parliamentary-election,0x6336991c609da9f5ca97082c75adbe64937da006fd7412aa1795918b9be2f3ee,Will GD win a majority in Georgia parliamentary election?,Yes,closed,2024-10-24T17:04:17.634945Z,2024-10-26T12:00:00Z,2024-10-28 09:42:12+00,332279
Elections,presidential-election-republicans-win-a-solid-blue-state,presidential-election-republicans-win-a-solid-blue-state,0xea4002c56d118cab706bf6cd34783948f5523a06239f7e59f443ac683f0fa140,Trump wins a solid blue state?,No,closed,2024-04-19T15:59:18.27Z,2024-11-05T12:00:00Z,2024-11-07 07:04:10+00,2.29273e+06
Elections,will-don-samuels-win-the-mn-5-democratic-house-district,mn-5-democratic-primary-winner,0x217a88ae576acea36b63d791fbdfeb3707d326943015136d83739e3fbbe1dce6,Will Don Samuels win the MN-5 Democratic House District?,No,closed,2024-05-02T21:23:52.947Z,2024-08-13T12:00:00Z,2024-08-14 06:13:05+00,463464
