category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume,keywords
Elections,will-donald-trump-win-the-2024-us-presidential-election,presidential-election-winner-2024,0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,Will Donald Trump win the 2024 US Presidential Election?,Yes,closed,2024-01-04T22:58:00Z,2024-11-05T12:00:00Z,2024-11-06T15:17:41Z,1531479284.504353,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-kamala-harris-win-the-2024-us-presidential-election,presidential-election-winner-2024,0xc6485bb7ea46d7bb89beb9c91e7572ecfc72a6273789496f78bc5e989e4d1638,Will Kamala Harris win the 2024 US Presidential Election?,No,closed,2024-01-04T23:02:00Z,2024-11-04T12:00:00Z,2024-11-06T18:03:54Z,1037039118.18879,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-any-other-republican-politician-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x55c551896c10a74861f2fd88b4f928694310114704cc74b29b9760d1156cade6,Will any other Republican Politician win the 2024 US Presidential Election?,No,closed,2024-01-06T20:13:00Z,2024-11-05T00:00:00Z,2024-11-06T19:45:36Z,241655099.850067,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,Kamala Harris wins the popular vote?,No,closed,2024-01-09T23:43:00Z,2024-11-05T12:00:00Z,2024-11-12T10:03:19Z,163779786.645492,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-michelle-obama-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x230144e34a84dfd0ebdc6de7fde37780e28154f6f84dd8880c7f0e58d302d448,Will Michelle Obama win the 2024 US Presidential Election?,No,closed,2024-01-05T22:01:00Z,2024-11-05T00:00:00Z,2024-11-06T19:00:15Z,153382275.618594,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-robert-f-kennedy-jr-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x7da35195ac3c7bf167f88ab0c27067a99020e36de67d39968b71d9debcdd925e,Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,No,closed,2024-01-04T23:01:00Z,2024-11-04T12:00:00Z,2024-11-06T18:09:00Z,141605110.748029,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-donald-trump-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0xcd1b6b71a1964f15e2c14809594cbfa0d576270e8ef94c8c24913121097e09e5,Will Donald Trump win the popular vote in the 2024 Presidential Election?,Yes,closed,2024-01-09T23:37:00Z,2024-11-05T12:00:00Z,2024-11-11T22:30:39Z,119932620.818624,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-any-other-democratic-politician-win-the-2024-us-presidential-election,presidential-election-winner-2024,0xb92f22143e7b48609a82573fa8197dc73683a15acb467b0f51ee63da7e3f520b,Will any other Democratic Politician win the 2024 US Presidential Election?,No,closed,2024-01-06T20:13:00Z,2024-11-05T00:00:00Z,2024-11-06T19:54:53Z,116558196.386525,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-nikki-haley-win-the-2024-us-presidential-election,presidential-election-winner-2024,0xced9f9d90c94db9f1e1dbd7d9fba82fe4fa7431c0d4e91e28896c8ac2d6acadd,Will Nikki Haley win the 2024 US Presidential Election?,No,closed,2024-01-04T22:58:00Z,2024-11-05T00:00:00Z,2024-11-06T18:04:10Z,107529158.083605,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-hillary-clinton-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x63634b4e14297a748923f86dca4fa0c6c659db0f5fadeeb8e419e48e20759c34,Will Hillary Clinton win the 2024 US Presidential Election?,No,closed,2024-01-05T22:01:00Z,2024-11-05T00:00:00Z,2024-11-06T19:45:30Z,93307167.686999,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-joe-biden-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x14018049e265a2d88f284be9588e2e3542e3a3df08ccdb344d28355dd7fdd8ef,Will Joe Biden win the 2024 US Presidential Election?,No,closed,2024-01-04T22:58:00Z,2024-11-05T12:00:00Z,2024-11-06T19:31:03Z,72176112.338298,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-hillary-clinton-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0xf3a7a2365b6ec113117184bb2d1b020577355a1028fde0b32671c4cfbbbbd589,Will Hillary Clinton win the popular vote in the 2024 Presidential Election?,No,closed,2024-01-09T23:46:00Z,2024-11-05T00:00:00Z,2024-11-12T07:59:27Z,70237132.505143,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-joe-biden-win-the-2024-democratic-presidential-nomination,democratic-nominee-2024,0x653483009043f1663360bc35ed8fb542d3f9453916082d20ff025adaa2fe7032,Will Joe Biden win the 2024 Democratic Presidential Nomination?,No,closed,2024-01-13T01:31:00Z,2024-08-18T12:00:00Z,2024-08-06T12:11:54Z,57519438.444639,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-kamala-harris-win-the-2024-democratic-presidential-nomination,democratic-nominee-2024,0x9e9071636d176562592a98dfede865385ba0cff7864cfa01f0479ca6e9e26e1b,Will Kamala Harris win the 2024 Democratic Presidential Nomination?,Yes,closed,2024-01-13T01:32:00Z,2024-08-19T00:00:00Z,2024-08-06T07:29:04Z,54563172.651864,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-gavin-newsom-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x40bbdd26dc08406eedcb913efee7f7faddf50e16fc21caedb4972d57fd71e0d1,Will Gavin Newsom win the 2024 US Presidential Election?,No,closed,2024-01-04T23:00:00Z,2024-11-05T00:00:00Z,2024-11-06T18:08:56Z,54161276.228088,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-rfk-jr-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0xf488aacaba74914fe181c68d8b6195e13c4ec8b6c1b215c299d297666297200e,Will RFK Jr. win the popular vote in the 2024 Presidential Election?,No,closed,2024-01-09T23:40:00Z,2024-11-05T00:00:00Z,2024-11-12T09:52:55Z,47770370.83836,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-michelle-obama-win-the-2024-democratic-presidential-nomination,democratic-nominee-2024,0x2d606a51f902a4d934a4b810dd77cb28bb8e40268f42354057b5a47f9799efad,Will Michelle Obama win the 2024 Democratic Presidential Nomination?,No,closed,2024-01-13T01:33:00Z,2024-08-19T00:00:00Z,2024-08-06T07:19:08Z,47510450.440678,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-ron-desantis-win-the-2024-us-presidential-election,presidential-election-winner-2024,0xad6d309aaa500d96855996e84da00dfb2379548a693ca684d0877cf94fec05d1,Will Ron DeSantis win the 2024 US Presidential Election?,No,closed,2024-01-04T23:02:00Z,2024-11-05T12:00:00Z,2024-11-06T19:31:05Z,46309049.202369,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-ron-desantis-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0x037c9d29c04a2f6a5373ae7db7779cb40a751ca372de1e55999397a8f571c67e,Will Ron DeSantis win the popular vote in the 2024 Presidential Election?,No,closed,2024-01-09T23:44:00Z,2024-11-05T00:00:00Z,2024-11-12T09:03:05Z,39315353.333832,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-gavin-newsom-win-the-2024-democratic-presidential-nomination,democratic-nominee-2024,0xd6f4c41fd20b8c6d5b48d528ead981d8fdf3da99d05018443e2d5bc60085e3dd,Will Gavin Newsom win the 2024 Democratic Presidential Nomination?,No,closed,2024-01-13T01:32:00Z,2024-08-19T00:00:00Z,2024-08-06T10:34:28Z,37514692.524769,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-michelle-obama-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0x215625b9e962f3f499f832c77dd4caa400bd8435369b5fd65e8673c8b2c4da66,Will Michelle Obama win the popular vote in the 2024 Presidential Election?,No,closed,2024-01-09T23:46:00Z,2024-11-05T00:00:00Z,2024-11-12T09:03:01Z,36970806.278363,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-any-other-democrat-politician-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0x198d833c085ed0c858165192e9fd446c5392dbcdedd1132d89c578c0b5c29b2f,Will any other Democrat Politician win the popular vote in the 2024 Presidential Election?,No,closed,2024-01-09T23:51:00Z,2024-11-05T00:00:00Z,2024-11-12T08:18:43Z,36496306.548087,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-hillary-clinton-win-the-2024-democratic-presidential-nomination,democratic-nominee-2024,0xea236b37f6ba053c48240dafea9b4b745ce43aebd44d8911df35302d1ac951a3,Will Hillary Clinton win the 2024 Democratic Presidential Nomination?,No,closed,2024-01-13T01:33:00Z,2024-08-19T00:00:00Z,2024-08-06T12:01:30Z,35289981.75504,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-any-other-republican-politician-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0x34b8fa269775d034f3d98b6848e0a7c5212efcaa0c98e6f8fb54c5d6f72b3705,Will any other Republican Politician win the popular vote in the 2024 Presidential Election?,No,closed,2024-01-09T23:51:00Z,2024-11-04T12:00:00Z,2024-11-12T08:13:51Z,35232789.166403,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-robert-f-kennedy-jr-win-the-2024-democratic-presidential-nomination,democratic-nominee-2024,0xd28eff5dc23bc2520042f8722add1afc39cdc9ea00650262e75a5d3bafeed06b,Will Robert F. Kennedy Jr. win the 2024 Democratic Presidential Nomination?,No,closed,2024-01-13T01:32:00Z,2024-08-19T00:00:00Z,2024-08-06T11:56:02Z,28528853.89392,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-someone-else-win-the-2024-democratic-presidential-nomination,democratic-nominee-2024,0x3faf3dbf90050968deafdc980118910ebe8d2410a573bc265ba81fc4658c793b,Will someone else win the 2024 Democratic Presidential Nomination?,No,closed,2024-01-13T01:34:00Z,2024-08-18T12:00:00Z,2024-08-06T12:06:48Z,28123133.590498,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-dean-phillips-win-the-2024-democratic-presidential-nomination,democratic-nominee-2024,0x9b277b355e9fff465381229667e064abb97ee74934af5e1a2278293f41e69708,Will Dean Phillips win the 2024 Democratic Presidential Nomination?,No,closed,2024-01-13T01:35:00Z,2024-08-19T00:00:00Z,2024-08-06T11:24:56Z,22226397.943736,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-aoc-win-the-2024-us-presidential-election,presidential-election-winner-2024,0xd1cce1f51effdf3957144fdc87b5e8aace1d1f7ab21976a046b71744ecad8443,Will AOC win the 2024 US Presidential Election?,No,closed,2024-01-06T20:12:00Z,2024-11-05T12:00:00Z,2024-11-06T20:09:45Z,22011560.654836,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-nikki-haley-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0x0c12d7b5322f432a0c4ac8806b476c7483c4d44061ca1188b6f749ec9db34996,Will Nikki Haley win the popular vote in the 2024 Presidential Election?,No,closed,2024-01-09T23:39:00Z,2024-11-05T00:00:00Z,2024-11-12T09:47:57Z,21923974.494067,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-vivek-ramaswamy-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x696baf880832d000a37ea87cc94235b1ac58e7e9fe7a144ccf5d141877629134,Will Vivek Ramaswamy win the 2024 US Presidential Election?,No,closed,2024-01-04T23:02:00Z,2024-11-05T00:00:00Z,2024-11-06T19:30:56Z,21181731.472915,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-biden-drop-out-of-presidential-race,will-biden-drop-out-of-presidential-race,0x3ac961dca3c4f0fc34bf94c661962012ab5e8bcdcadfc99affa06eddde00b29f,Biden drops out of presidential race?,Yes,closed,2023-09-21T16:18:35.358Z,2024-11-04T12:00:00Z,2024-07-21T20:20:56Z,21122389.820576,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,democrats-and-republicans-both-lose-the-2024-presidential-election,electoral-college-margin-of-victory-in-the-2024-presidential-election,0x547171b466f04230c9a6bfd13a71fb24de3442e10ce5cea95232d970f36fd5bf,Democrats and Republicans both lose the 2024 Presidential Election?,No,closed,2024-01-12T00:43:00Z,2024-11-05T00:00:00Z,2024-11-07T08:41:51Z,20963826.152231,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-elizabeth-warren-win-the-2024-democratic-presidential-nomination,democratic-nominee-2024,0xe721d257bb72949a6c61a77847b7880519a6164a8211e815da15eccd750c4626,Will Elizabeth Warren win the 2024 Democratic Presidential Nomination?,No,closed,2024-01-13T01:34:00Z,2024-08-19T00:00:00Z,2024-08-06T12:01:24Z,16590051.97809,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-elizabeth-warren-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x3120827dc12167d09fd9f08233e2b540054a2ed90aad65c023bc1da9d38b29d9,Will Elizabeth Warren win the 2024 US Presidential Election?,No,closed,2024-01-06T20:12:00Z,2024-11-05T00:00:00Z,2024-11-06T20:24:59Z,14714813.728,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
Elections,will-chris-christie-win-the-2024-us-presidential-election,presidential-election-winner-2024,0xf6106065ec5d5dae7eca350be64e5246ae331b35937ea55b64152f65fbc0b37f,Will Chris Christie win the 2024 US Presidential Election?,No,closed,2024-01-06T20:12:00Z,2024-11-05T00:00:00Z,2024-11-06T20:40:10Z,14192736.345,election; vote; candidate; president; primary; ballot; senate; congress; polling; democrat
