category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Elections,will-the-democratic-party-win-the-ca-15-house-seat,ca-15-house-election-winner,0xc9b87cf9582ae37f3440aea13a01c0b2437ab4fdff95461801f53ec2b4a5d1c2,Will the Democratic Party win the CA-15 House seat?,,open,2026-01-28T06:18:57.184896Z,2026-11-03T00:00:00Z,,80024.2
Elections,will-the-republican-party-win-the-popular-vote-in-the-2026-us-house-of-representatives-midterm-elections-by-between-2-and-4-265,2026-midterms-house-popular-vote-margin-of-victory-224,0x9163ed507939950121ef6b939e89c1f72ee0f7dd0909940b5aed9e3e7854f6d4,Will the Republican Party win the popular vote in the 2026 U.S. House of Representatives midterm elections by between 2% and 4%?,,open,2026-02-19T00:28:13.32658Z,2026-11-03T00:00:00Z,,25795.6
Elections,will-republicans-lose-a-seat-in-the-us-senate-for-any-state-trump-won-in-2024,will-republicans-lose-a-seat-in-the-us-senate-for-any-state-trump-won-in-2024,0xcad0d0df08db801f27b9b9e537f3d221d2ec2036196b7627bd63b20d3a7752b0,Will Republicans lose a seat in the US Senate for any state Trump won in 2024?,,open,2025-11-15T00:41:10.408Z,2026-11-03T00:00:00Z,,2721.14
Elections,will-the-republican-party-win-the-fl-01-house-seat,fl-01-house-election-winner,0x1cbd2d35ecfbb6a2dede1e1718febb3fdf8d5accab524cec16af0505f78737ca,Will the Republican Party win the FL-01 House seat?,,open,2026-01-28T16:50:30.380031Z,2026-11-03T00:00:00Z,,71396.9
Elections,will-republicanos-republicanos-win-the-most-seats-in-the-next-brazilian-senate-election,next-brazil-senate-election-most-seats-won,0x28c1fe8819aec32868983b0bd0364f8c0e6e9b6ef39ffaa860d7d1d913dd40d5,Will Republicanos (REPUBLICANOS) win the most seats in the next Brazilian Senate election?,,open,2026-02-11T22:38:32.411423Z,2026-10-04T00:00:00Z,,951.048
Elections,will-republicans-lose-a-seat-in-the-house-of-representatives-in-any-state-trump-won-in-2024,will-republicans-lose-a-seat-in-the-house-of-representatives-in-any-state-trump-won-in-2024,0x85840a33f43140f63017f468129ce8507158bb096a295cfb7c9124cf52aae640,Will Republicans lose a seat in the House of Representatives in any state Trump won in 2024?,,open,2025-11-15T00:18:57.891Z,2026-11-03T00:00:00Z,,2014.51
Elections,will-the-republican-party-win-the-ms-01-house-seat,ms-01-house-election-winner,0x09d136a3f1111d466c0b93ca6309b6e1f2e95a71a0b1f4bdf8b4be492440bde6,Will the Republican Party win the MS-01 House seat?,,open,2026-01-28T21:41:16.352094Z,2026-11-03T00:00:00Z,,69459.4
Elections,will-republicanos-republicanos-hold-the-most-seats-as-a-result-of-the-next-brazilian-senate-election,next-brazil-senate-election-most-seats-held,0x4e7c61caea7979dd89197ea3dbbcc421c786788706abe154461bdad7bf9598b6,Will Republicanos (REPUBLICANOS) hold the most seats as a result of the next Brazilian Senate election?,,open,2026-02-11T22:42:29.962006Z,2026-10-04T00:00:00Z,,538.24
Elections,republican-trifecta-with-supermajority-in-the-senate,republican-trifecta-with-supermajority-in-the-senate,0xf8ffc79497e28506895f59a72288ef924ce98481c8b0341281fdd786e9489668,Republicans win Trifecta with Senate Supermajority in midterms?,,open,2026-01-02T18:45:51.376Z,2026-11-03T00:00:00Z,,73432.4
Elections,will-the-democratic-party-win-the-ca-16-house-seat,ca-16-house-election-winner,0xa89bc5ec9129faa68708cf7cd24f50b6391ee2196547cc495f353915b4bd6680,Will the Democratic Party win the CA-16 House seat?,,open,2026-01-28T06:19:01.745812Z,2026-11-03T00:00:00Z,,45635.9
