category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Entertainment,kanye-digital-release-of-vultures-vol-2-by-friday,kanye-digital-release-of-vultures-vol-2-by-friday,0xf0f37d96ff4036653069bfbcf329b2390ba8504906acae550a1af2f6fdb72268,Kanye digital release of 'Vultures' Vol. 2 by Friday?,No,closed,2024-03-11T18:05:06Z,2024-03-15T00:00:00Z,2024-03-16T09:03:55Z,4940.38
Entertainment,kung-fu-panda-4-over-36m-opening-weekend,kung-fu-panda-4-over-36m-opening-weekend,0x5820a2326da251488ef27d882515d1279f6924f427d3608f4c817fef00fe409f,Kung Fu Panda 4 over $36m opening weekend?,Yes,closed,2024-03-05T18:38:02Z,2024-03-11T00:00:00Z,2024-03-12T01:15:59Z,75565.9
Entertainment,will-napoleon-win-the-oscar-for-best-costume-design,oscars-best-costume-design,0x144f534975893ff2d0dd5bcd7bc5d2160280963de60a85cc82c88a0e4059b583,Will Napoleon win the Oscar for Best Costume Design?,No,closed,2024-03-01T20:50:00Z,2024-03-08T00:00:00Z,2024-03-11T03:30:39Z,1046.66
Entertainment,will-killers-of-the-flower-moon-win-the-oscar-for-best-costume-design,oscars-best-costume-design,0x21f48b239635e284736beb1f1b2a8d14f1e73b20b3bf7aba171c97e66ec749c1,Will Killers of the Flower Moon win the Oscar for Best Costume Design?,No,closed,2024-03-01T20:50:00Z,2024-03-08T00:00:00Z,2024-03-11T03:30:19Z,4058.28
Entertainment,will-oppenheimer-win-the-oscar-for-best-costume-design,oscars-best-costume-design,0x5981f7865b2c6222649ad26209b2eea19c7bffd6c4ff3ef8435e3865b3ebbb2d,Will Oppenheimer win the Oscar for Best Costume Design?,No,closed,2024-03-01T20:50:00Z,2024-03-08T00:00:00Z,2024-03-11T03:31:09Z,550
Entertainment,will-poor-things-win-the-oscar-for-best-costume-design,oscars-best-costume-design,0xe76a451e7d8dabdedf3621d8dc641f581d93fbea134052cee4d6f5b8922abb5c,Will Poor Things win the Oscar for Best Costume Design?,Yes,closed,2024-03-01T20:50:00Z,2024-03-08T00:00:00Z,2024-03-11T03:32:51Z,6477.54
Entertainment,will-barbie-win-the-oscar-for-best-costume-design,oscars-best-costume-design,0x26dda4f06682a02a836c0331e74de6560fff92cab28c7e6889342bcbd395dc48,Will Barbie win the Oscar for Best Costume Design?,No,closed,2024-03-01T20:49:00Z,2024-03-08T00:00:00Z,2024-03-11T03:31:29Z,6366.37
Entertainment,kanye-carnival-1-billboard-hot-100-this-week,kanye-carnival-1-billboard-hot-100-this-week,0xafc8132d8dd0c65c2607950bfa5b80e39b6435fcf199b63d75b56c8137d533c6,"Kanye ""Carnival"" #1 Billboard Hot 100 this week?",No,closed,2024-03-01T01:41:46Z,2024-03-09T00:00:00Z,2024-03-05T05:17:11Z,9476.64
Entertainment,will-dune-part-two-gross-between-250m-300m-by-may-15,dune-part-two-total-domestic-box-office,0x193dba76f576e631a3649fd77cfd19812b0820aaa4b866364181e564daf16962,Will 'Dune: Part Two' gross between $250m-300m by May 15?,Yes,closed,2024-02-29T23:54:00Z,2024-05-13T00:00:00Z,2024-05-17T01:37:01Z,54280
Entertainment,will-dune-part-two-gross-more-than-300m-by-may-15,dune-part-two-total-domestic-box-office,0x248c40cd0ea1a87d649f478b39f565b97999507ae9a5eb4655ac66caf67db8e4,Will 'Dune: Part Two' gross more than $300m by May 15?,No,closed,2024-02-29T23:54:00Z,2024-05-13T00:00:00Z,2024-05-17T01:37:05Z,170860
