category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume,keywords
Entertainment,will-joker-2-gross-most-in-2024,highest-grossing-movie-in-2024,0x87ebcc9f6660a5b9613650c3d91bae01f4503b11eb61a782b993bbc3a5d41b04,Will 'Joker 2' gross most in 2024?,No,closed,2024-01-31T23:47:00Z,2024-12-29T00:00:00Z,2025-01-03T08:20:05Z,27351093.5083624,oscar; movie; film; award; celebrity; music; album; box office; streaming; actor
Entertainment,will-despicable-me-4-gross-most-in-2024,highest-grossing-movie-in-2024,0x1742f180a7ff24c2a89f3775e8f4243169085b7a25a50f15c76090b816e4c994,Will 'Despicable Me 4' gross most in 2024?,No,closed,2024-01-31T23:47:00Z,2024-12-29T00:00:00Z,2025-01-03T08:30:05Z,25803996.5807667,oscar; movie; film; award; celebrity; music; album; box office; streaming; actor
Entertainment,will-furiosa-a-mad-max-saga-gross-most-in-2024,highest-grossing-movie-in-2024,0x62c1c246437874dc270d9d9019b6228532a394ea2a6ffa36190c7075a2732ae6,Will 'Furiosa: A Mad Max Saga' gross most in 2024?,No,closed,2024-01-31T23:47:00Z,2024-12-29T00:00:00Z,2025-01-03T08:20:09Z,21691619.0902797,oscar; movie; film; award; celebrity; music; album; box office; streaming; actor
Entertainment,will-dune-part-2-gross-most-in-2024,highest-grossing-movie-in-2024,0xf80032ad5496e997beb357f01e9fe69382d7c755cde2352eba37410db006c21d,Will 'Dune: Part 2' gross most in 2024?,No,closed,2024-01-31T23:47:00Z,2024-12-29T00:00:00Z,2025-01-03T08:30:11Z,19502938.234954,oscar; movie; film; award; celebrity; music; album; box office; streaming; actor
Entertainment,will-inside-out-2-gross-most-in-2024,highest-grossing-movie-in-2024,0x1ab07117f9f698f28490f57754d6fe5309374230c95867a7eba572892a11d710,Will 'Inside Out 2' gross most in 2024?,Yes,closed,2024-01-31T23:47:00Z,2024-12-29T00:00:00Z,2025-01-03T08:05:11Z,8909465.21794603,oscar; movie; film; award; celebrity; music; album; box office; streaming; actor
Entertainment,will-deadpool-3-gross-most-in-2024,highest-grossing-movie-in-2024,0xbce0ff6f8ee396ec39e76c8b60d747272e8bf4bd65f31d0e131b64aceb0be3b5,Will 'Deadpool 3' gross most in 2024?,No,closed,2024-01-31T23:47:00Z,2024-12-29T00:00:00Z,2025-01-03T08:09:45Z,8771933.14124493,oscar; movie; film; award; celebrity; music; album; box office; streaming; actor
Entertainment,will-the-hbo-documentary-identify-adam-back-as-satoshi,who-will-hbo-doc-identify-as-satoshi,0x36486ce8c3fa43e8f3c3c030fb1e9dd90d25304acedb008f5663ddcd528b9565,Will the HBO documentary identify Adam Back as Satoshi?,No,closed,2024-10-03T22:35:01.744Z,2024-10-15T12:00:00Z,2024-10-09T04:56:15Z,7341786.79342,oscar; movie; film; award; celebrity; music; album; box office; streaming; actor
Entertainment,will-another-movie-gross-most-in-2024,highest-grossing-movie-in-2024,0xaa69f9c948b8a162eb305285bf31a581868c23a289573889b27361726c213b64,Will another movie gross most in 2024?,No,closed,2024-01-31T23:47:00Z,2024-12-29T00:00:00Z,2025-01-03T15:28:55Z,5967248.83797894,oscar; movie; film; award; celebrity; music; album; box office; streaming; actor
Entertainment,will-the-hbo-documentary-identify-len-sassaman-as-satoshi,who-will-hbo-doc-identify-as-satoshi,0x39af89511ebd36a29d23ea83f128d5141fb21c9b6917c6e8a4cbe57fdce15b1d,Will the HBO documentary identify Len Sassaman as Satoshi?,No,closed,2024-10-03T22:28:39.981Z,2024-10-15T12:00:00Z,2024-10-09T05:05:41Z,4617164.821827,oscar; movie; film; award; celebrity; music; album; box office; streaming; actor
Entertainment,will-the-hbo-documentary-identify-someone-else-as-satoshi,who-will-hbo-doc-identify-as-satoshi,0x6d283e7709d0b7c7bbd499585e027e45118417bd0e3e2670912a03ae0ff3de90,Will the HBO documentary identify someone else as Satoshi?,Yes,closed,2024-10-03T22:39:17.788Z,2024-10-15T12:00:00Z,2024-10-09T04:50:59Z,3874665.894388,oscar; movie; film; award; celebrity; music; album; box office; streaming; actor
