category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Financials,roaring-kittys-next-gme-yolo-update-above-250m,roaring-kittys-next-gme-yolo-update-above-250m,0x72c945416fa0322d1bea735107dc423589937248e01d46003bad9e3b3b727e0d,Roaring Kitty's next GME YOLO update above $250m?,Yes,closed,2024-06-12T20:26:53Z,2024-06-30T12:00:00Z,2024-06-13T22:33:42Z,3737.76
Financials,ethereum-etf-begins-trading-by-july-4,ethereum-etf-begins-trading-by-july-4,0x09e89f5a5d4b66668c89d2323af10fa48816ea13dc991272ec9896d5e6ffd84d,Ethereum ETF begins trading by July 4?,No,closed,2024-05-29T23:30:38Z,2024-07-03T12:00:00Z,2024-07-04T07:04:35Z,529779
Financials,will-roaring-kitty-tweet-100-or-more-times,of-roaring-kitty-tweets-by-may-17,0x26d927236097b51d1fa848527e0e3b764d9028584e9dc687bf109f04f38c77ce,Will Roaring Kitty tweet 100 or more times?,No,closed,2024-05-13T19:18:26Z,2024-05-17T12:00:00Z,2024-05-17T19:12:03Z,15556.5
Financials,will-roaring-kitty-tweet-between-75-and-99-times,of-roaring-kitty-tweets-by-may-17,0x1e51438708ee0136eaeb0139b38eea8e4a37fc2b6ab021897d50f4c6f11c6057,Will Roaring Kitty tweet between 75 and 99 times?,Yes,closed,2024-05-13T19:18:26Z,2024-05-17T12:00:00Z,2024-05-17T19:16:49Z,10186.2
Financials,will-roaring-kitty-tweet-between-50-and-74-times,of-roaring-kitty-tweets-by-may-17,0x1abea748e8ef490de4fb3d1102b3aa8e6a5bdc99c8851c92bb725a374e88d855,Will Roaring Kitty tweet between 50 and 74 times?,No,closed,2024-05-13T19:18:25Z,2024-05-17T12:00:00Z,2024-05-16T21:02:16Z,11917.9
Financials,will-roaring-kitty-tweet-between-25-and-49-times,of-roaring-kitty-tweets-by-may-17,0x4fc8f17cd400deaee0fc9eb724a4aa689ce9716e8ac0f829d6cd7bbc266c09fa,Will Roaring Kitty tweet between 25 and 49 times?,No,closed,2024-05-13T19:18:25Z,2024-05-17T12:00:00Z,2024-05-15T21:18:12Z,9062.27
Financials,will-roaring-kitty-tweet-less-than-25-times,of-roaring-kitty-tweets-by-may-17,0x65d172ef296761643c3a3f8fc4f20f8844f1950e066f6314b20527317d84d1de,Will Roaring Kitty tweet less than 25 times?,No,closed,2024-05-13T19:18:24Z,2024-05-17T12:00:00Z,2024-05-15T04:19:04Z,7341.37
Financials,will-roaring-kitty-tweet-again-on-tuesday,will-roaring-kitty-tweet-again-on-tuesday,0x9f479ed43008d515497ea633ea3c25ed81aa64ea78a7dcf795a0f4fcf562a21f,Will Roaring Kitty tweet on Tuesday?,Yes,closed,2024-05-13T16:23:16Z,2024-05-14T12:00:00Z,2024-05-14T17:03:08Z,8271.54
Financials,gme-halted-on-tuesday,gme-halted-on-tuesday,0x8b43fa732280bf918050a830ab939fc06c331b036eccb1999fec2505b29b2c49,$GME halted on Tuesday?,Yes,closed,2024-05-13T15:50:56Z,2024-05-14T12:00:00Z,2024-05-14T15:40:22Z,10430.7
Financials,azuro-airdrop-by-june-30,airdrops-by-june-30,0xb27d3daef7ab970410cf628a9330e46a78be59b68f220a3c24e60ca0111c8ab4,Azuro airdrop by June 30?,Yes,closed,2024-05-02T16:21:18Z,2024-06-30T12:00:00Z,2024-06-19T20:19:51Z,77550
Financials,djt-market-cap-greater-than-5b-on-april-30,djt-market-cap-on-april-30,0xabb56c63962882b2ea8f07e9c7ae6bcc3bbe07382602b809a53bd9e12a016dca,$DJT market cap greater than $5b on April 30?,Yes,closed,2024-04-16T16:53:41Z,2024-04-30T12:00:00Z,2024-04-30T23:16:52Z,32020.5
Financials,djt-market-cap-between-4b-and-5b-on-april-30,djt-market-cap-on-april-30,0x79e0b8e85c5af2d75c51ef4f17a2c7837e0f4ac717ecd161a1dd8e1b9fdfb85d,$DJT market cap between $4b and $5b on April 30?,No,closed,2024-04-16T16:53:38Z,2024-04-30T12:00:00Z,2024-05-01T00:09:13Z,27300.2
Financials,djt-market-cap-between-3b-and-4b-on-april-30,djt-market-cap-on-april-30,0xd803cf611d837be304d6bdf2d3d0a1844558967fb54d04c81da1bf88f2e36ae9,$DJT market cap between $3b and $4b on April 30?,No,closed,2024-04-16T16:53:34Z,2024-04-30T12:00:00Z,2024-04-30T23:21:25Z,41169.3
Financials,djt-market-cap-between-2b-and-3b-on-april-30,djt-market-cap-on-april-30,0xbf49cd69abf229f45960296c6e978fcde576e0c64aca7744ea7904829830365b,$DJT market cap between $2b and $3b on April 30?,No,closed,2024-04-16T16:53:31Z,2024-04-30T12:00:00Z,2024-04-30T23:21:29Z,51316.3
Financials,djt-market-cap-between-1b-and-2b-on-april-30,djt-market-cap-on-april-30,0xa0d78bfdaa0ef5c2ec66f91208d5487ac1265585d4254a52a3544cb1fd5bd9df,$DJT market cap between $1b and $2b on April 30?,No,closed,2024-04-16T16:53:27Z,2024-04-30T12:00:00Z,2024-04-30T23:26:07Z,29621.4
