category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Financials,roaring-kittys-next-gme-yolo-update-above-250m,roaring-kittys-next-gme-yolo-update-above-250m,0x72c945416fa0322d1bea735107dc423589937248e01d46003bad9e3b3b727e0d,Roaring Kitty's next GME YOLO update above $250m?,Yes,closed,2024-06-12T20:26:53Z,2024-06-30T12:00:00Z,2024-06-13T22:33:42Z,3737.76
Financials,roaring-kitty-shows-dexscreener-in-livestream,roaring-kitty-shows-dexscreener-in-livestream,0x5b1580f233d2a6876e828b2a58db33be75600f12269b54c1fb3ebb0d407579e7,Roaring Kitty shows dexscreener in livestream?,No,closed,2024-06-06T17:50:24Z,2024-06-07T12:00:00Z,2024-06-07T19:27:03Z,1659.61
Financials,nvidia-largest-company-by-june-30,nvidia-largest-company-by-june-30,0x952c3d735eafb83572409eb071011f9f8fc51f365a387b9f48600a92f6f2eb83,NVIDIA largest company before June 15?,No,closed,2024-06-05T17:50:17Z,2024-06-14T12:00:00Z,2024-06-14T22:13:40Z,352823
Financials,brka-closes-above-600k-today,brka-closes-above-600k-today,0x2b9fd4af40e6794398b4999e8bc9375c033aa58fc81ad213531934366bf90e2d,Berkshire Hathaway closes above $600k today?,Yes,closed,2024-06-03T15:16:55Z,2024-06-03T12:00:00Z,2024-06-04T06:29:34Z,1406.73
Financials,ethereum-etf-begins-trading-by-july-4,ethereum-etf-begins-trading-by-july-4,0x09e89f5a5d4b66668c89d2323af10fa48816ea13dc991272ec9896d5e6ffd84d,Ethereum ETF begins trading by July 4?,No,closed,2024-05-29T23:30:38Z,2024-07-03T12:00:00Z,2024-07-04T07:04:35Z,529779
Financials,amc-all-time-high-by-friday,amc-all-time-high-by-friday,0xb9108d9d37e0f91ab4380e0911940c521caffd84e80616c1c54d74b26bfc7442,$AMC all time high by Friday?,No,closed,2024-05-14T18:28:27Z,2024-05-17T12:00:00Z,2024-05-17T22:07:12Z,100045
Financials,will-roaring-kitty-tweet-100-or-more-times,of-roaring-kitty-tweets-by-may-17,0x26d927236097b51d1fa848527e0e3b764d9028584e9dc687bf109f04f38c77ce,Will Roaring Kitty tweet 100 or more times?,No,closed,2024-05-13T19:18:26Z,2024-05-17T12:00:00Z,2024-05-17T19:12:03Z,15556.5
Financials,will-roaring-kitty-tweet-between-75-and-99-times,of-roaring-kitty-tweets-by-may-17,0x1e51438708ee0136eaeb0139b38eea8e4a37fc2b6ab021897d50f4c6f11c6057,Will Roaring Kitty tweet between 75 and 99 times?,Yes,closed,2024-05-13T19:18:26Z,2024-05-17T12:00:00Z,2024-05-17T19:16:49Z,10186.2
Financials,will-roaring-kitty-tweet-between-50-and-74-times,of-roaring-kitty-tweets-by-may-17,0x1abea748e8ef490de4fb3d1102b3aa8e6a5bdc99c8851c92bb725a374e88d855,Will Roaring Kitty tweet between 50 and 74 times?,No,closed,2024-05-13T19:18:25Z,2024-05-17T12:00:00Z,2024-05-16T21:02:16Z,11917.9
Financials,will-roaring-kitty-tweet-between-25-and-49-times,of-roaring-kitty-tweets-by-may-17,0x4fc8f17cd400deaee0fc9eb724a4aa689ce9716e8ac0f829d6cd7bbc266c09fa,Will Roaring Kitty tweet between 25 and 49 times?,No,closed,2024-05-13T19:18:25Z,2024-05-17T12:00:00Z,2024-05-15T21:18:12Z,9062.27
