category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Politics,another-iran-strike-on-israel-in-2024,another-iran-strike-on-israel-in-2024,0x2c843616fdd03f36785122aafd5e2b70bffe27e1e15fdbfe4d5b44f689b66388,Another Iran strike on Israel in 2024?,No,closed,2024-10-26T17:32:08.451Z,2024-12-31T12:00:00Z,2025-01-01 07:37:34+00,3.16867e+06
Politics,saudi-and-israel-peace-deal-by-march-2024,saudi-and-israel-peace-deal-by-march-2024,0x578367b882d56ea866d2b13568748a084fd5b8dd392ae21af42e391c76d61d0a,Saudi and Israel peace deal by March 2024?,No,closed,2023-10-09T21:54:29.438Z,2024-03-31T00:00:00Z,2024-04-01 06:11:30+00,148099
Politics,us-government-shutdown-before-2025,us-government-shutdown-before-2025,0x87d67272f0ce1bb0d80ba12a1ab79287b2a235a5f361f5bcbc06ea0ce34e61c5,Will there be a US Government shutdown? ,Yes,closed,2024-09-03T16:16:55.822Z,2024-12-31T12:00:00Z,2024-12-25 00:28:03+00,5.35004e+07
Politics,another-iran-strike-on-israel-in-october,another-iran-strike-on-israel-in-october,0xddbd56dc728feb63f3b3276bbc23be9241c1adaaa4eabdc5733f3a34de33041e,Another Iran strike on Israel in October?,No,closed,2024-10-02T17:28:30.618915Z,2024-10-31T12:00:00Z,2024-11-01 06:30:07+00,1.77028e+06
Politics,whos-out-first-benjamin-netanyahu-or-yahya-sinwar,whos-out-first-benjamin-netanyahu-or-yahya-sinwar,0xa8d6d1a85165b4956fac8be23b8cdbd73e14e89dcf620e5203c2d3d6a2a60f7e,Who's out first: Benjamin Netanyahu or Yahya Sinwar?,Sinwar,closed,2023-12-28T18:26:40.6Z,2024-10-31T00:00:00Z,2024-10-18 05:35:49+00,47313.2
Politics,save-act-becomes-law-before-election,save-act-becomes-law-before-election,0x82ac33be050da2ac689428cc8b50fc866c2e61a1fb6e458bcc6b32cf85ca7fbc,SAVE act becomes law before election?,No,closed,2024-09-03T19:06:37.555733Z,2024-11-04T12:00:00Z,2024-11-05 07:53:39+00,54748.4
Politics,iran-strike-on-israel-before-december,iran-strike-on-israel-before-december,0xd611b44739cc5d52c4f95592606693644ec03208ccb35b293d6ee427b5cbde74,Iran strike on Israel before December?,No,closed,2024-10-31T23:34:31.270078Z,2024-11-30T12:00:00Z,2024-12-01 07:25:13+00,1.31727e+06
Politics,will-a-world-leader-shit-themselves-before-march,will-a-world-leader-shit-themselves-before-march,0x5c81fef89460b5f8ae62751788b18c38871f647f51683a527e87810f0ee99016,Will a world leader shit themselves before March?,No,closed,2023-12-29T16:20:06.765Z,2024-02-29T00:00:00Z,2024-03-01 07:21:32+00,5782.88
Politics,congress-passes-funding-bill-by-midnight,congress-passes-funding-bill-by-midnight,0x4ab4e66326f266bff370c9b0a40e8b39cb41a9e37947289851b4dcc772da9ea5,House passes funding bill by midnight?,Yes,closed,2024-12-20T19:26:33.213724Z,2024-12-21T12:00:00Z,2024-12-21 03:16:19+00,140162
Politics,iran-action-by-friday,iran-action-by-friday,0xd8084b77d5386b0c907a3e82567c737896ba0102af5de7ab7295aee6023409b6,Iran military response by Friday?,No,closed,2024-08-13T04:17:31.38Z,2024-08-16T12:00:00Z,2024-08-17 06:00:24+00,1.11711e+06
Politics,netanyahu-out-by-october-31,netanyahu-out-by-october-31,0xbb977da314aec0e32081a1a74823f9ebecc726c2899fbfaa5c113b2932ad0e8b,Netanyahu out by October 31?,No,closed,2024-05-29T03:14:49.435Z,2024-10-31T12:00:00Z,2024-11-01 00:31:19+00,732532
Politics,will-congress-pass-another-spending-bill-before-inauguration,will-congress-pass-another-spending-bill-before-inauguration,0x9543218f2d765050c8b0cbe2f3b42e0011bd8a220d45abec65b5ed4756b769bb,Congress passes funding bill before Trump inauguration?,Yes,closed,2024-12-18T19:32:28.464Z,2024-12-19T12:00:00Z,2024-12-21 03:00:50+00,93135.1
Politics,iran-military-response-by-august-12,iran-military-response-by-august-12,0x1abb01bf1b40437116748b2f30de85404349a9b92c14d21031990698915e99f9,Iran military response by Monday?,No,closed,2024-07-31T16:54:24.65Z,2024-08-12T12:00:00Z,2024-08-13 06:07:17+00,1.04112e+06
Politics,covid-lab-leak-confirmed-by-us-in-2024,covid-lab-leak-confirmed-by-us-in-2024,0xdfd4276c3144acea7037bc3c4d9924f8a79de9af98ce7d798b6086ff0c5e7dc0,COVID lab leak confirmed by US in 2024?,No,closed,2024-01-25T23:23:47.709Z,2024-12-31T00:00:00Z,2025-01-01 09:31:14+00,690267
Politics,border-ukraine-aid-deal-by-feb-9,border-ukraine-aid-deal-by-feb-9,0xbb13bc45678192a57188e0896b5017ae9c47ad4446c1e282ba81613e18536f42,Border + Ukraine aid deal by Feb 9?,No,closed,2024-01-26T00:57:25.552Z,2024-02-09T00:00:00Z,2024-02-10 07:01:51+00,75006.5
Politics,iran-strike-on-israel-by-nov-8,iran-strike-on-israel-by-nov-8,0xc83128531d31cc5e5b3ca1f0065f39f6f88047d0905ae2a0ae94d9be1eec2aa5,Iran strike on Israel by Nov 8?,No,closed,2024-10-31T23:34:34.360286Z,2024-11-08T12:00:00Z,2024-11-09 07:12:08+00,788895
Politics,netanyahu-out-in-2024,netanyahu-out-in-2024,0x2b0f30bad2a3405a4eb4097467d4ba533df69f51d00b6c8c8807960f517338a1,Netanyahu out in 2024?,No,closed,2024-10-25T21:25:13.707735Z,2024-12-31T12:00:00Z,2025-01-01 08:42:30+00,403310
Politics,congress-passes-funding-bill-today,congress-passes-funding-bill-today,0x4a2432fcfb0dc0bb5f495f2ce2565edb2dc75973f55c95daf765c38c8b5121eb,Congress passes funding bill today?,No,closed,2024-12-19T22:35:53.270171Z,2024-12-19T12:00:00Z,2024-12-20 07:01:10+00,23061.8
Politics,iran-military-response-before-october,iran-military-response-before-october,0xe172d2289a5d799515311349c6580bd95a9b64f93a9aab719d88c0f0d3b0e216,Iran military response before October?,No,closed,2024-08-20T17:17:19.44Z,2024-09-30T12:00:00Z,2024-10-01 06:27:34+00,467982
Politics,netanyahu-out-by-june-30,netanyahu-out-by-june-30,0x97726dd237b1b26d510609bd1a561075e87accbf99b68edfd56fb5c09d51b751,Netanyahu out by June 30?,No,closed,2023-12-28T22:00:14.46Z,2024-06-30T00:00:00Z,2024-07-01 06:40:15+00,340321
Politics,congress-passes-funding-bill-before-2025,congress-passes-funding-bill-before-2025,0x3eef2324c7205d00cb6054702fb3c500b55b4be8918b25ebe358e886bbc95c87,Congress passes funding bill before 2025?,Yes,closed,2024-12-19T19:05:47.452Z,2024-12-31T12:00:00Z,2024-12-21 02:34:47+00,11775.1
Politics,iran-strike-on-israel-by-nov-15,iran-strike-on-israel-by-nov-15,0xcd3667b80dc30a2cd5b720b17d3b376ce0c6599e25f8838a95788c781adb6884,Iran strike on Israel by Friday?,No,closed,2024-11-09T02:54:59.177Z,2024-11-15T12:00:00Z,2024-11-16 07:08:17+00,302873
Politics,will-julie-su-be-the-next-us-secretary-of-labor,who-will-be-the-next-us-secretary-of-labor,0x33a7545297ab2dce2b8f233f5130d40b4369b7d03fc1d503f28ffc29c6c4399e,Will Julie Su be the next U.S. Secretary of Labor?,No,closed,2023-02-13T23:15:17.665Z,2023-12-30T00:00:00Z,2024-01-01 07:48:04+00,7558.25
Politics,will-trump-publicly-oppose-government-funding-bill-today,will-trump-publicly-oppose-government-funding-bill-today,0x87587845cd1af1a93d1e5e75607946e2cc33f87cd1e549b36fc0086cd4957639,Will Trump publicly oppose funding bill today?,Yes,closed,2024-12-18T17:35:01.148Z,2024-12-18T12:00:00Z,2024-12-19 01:10:20+00,25615.7
Politics,iran-strike-on-israel-before-november,iran-strike-on-israel-before-november,0x2e2008d0fcbbf303a3480d66389cc5ff065b6c22ad1ab377225143bfd10c00e5,Iran strike on Israel before November?,Yes,closed,2024-09-23T21:34:35.73Z,2024-10-31T12:00:00Z,2024-10-01 19:27:05+00,294630
Politics,will-trump-say-border-25-or-more-times-during-pennsylvania-rally-on-october-26,what-will-trump-say-during-pennsylvania-rally-oct-26,0x2ec6879749146c2860fb0274351b6cacde1989d9bbad1782d6c97439d41bc959,"Will Trump say ""border"" 25 or more times during Pennsylvania rally on October 26?",No,closed,2024-10-23T22:35:52.582951Z,2024-10-26T12:00:00Z,2024-10-27 01:25:14+00,56542.2
Politics,will-congress-pay-raise-be-removed-in-cr-by-friday,will-congress-pay-raise-be-removed-in-cr-by-friday,0xbc132a82b2cb740fa3b2aeb5c0148401073cf5d9df1337d10ac1685f32b09a3d,Congress pay raise removed from funding bill by Friday?,Yes,closed,2024-12-18T16:49:12.755Z,2024-12-20T12:00:00Z,2024-12-25 00:32:57+00,1.66343e+06
Politics,iran-military-response-by-friday,iran-military-response-by-friday,0x9b7bf151560114a00da99e0cd4bc20a232162be69db99e488859bade3aecbf35,Iran military response by Friday?,No,closed,2024-08-06T23:07:59.85Z,2024-08-09T12:00:00Z,2024-08-10 06:09:37+00,273697
Politics,will-vivek-drop-out-of-presidential-race-before-february,will-vivek-drop-out-of-presidential-race-before-february,0x24d8bca52f2abed3e1e566a279e4033734f6032f32b0624cc19ba971549c64aa,Will Vivek drop out of presidential race before February?,Yes,closed,2023-12-27T17:04:29.903Z,2024-01-31T00:00:00Z,2024-01-16 06:31:31+00,44407.6
Politics,congress-passes-bill-banning-tiktok-by-april-30,congress-passes-bill-banning-tiktok-by-april-30,0xd7b81793137d5dd6843a40e774fb25395361a4375b885784ff747520958b93d1,Congress passes bill banning TikTok by April 30?,Yes,closed,2024-03-07T21:47:17.322Z,2024-04-30T12:00:00Z,2024-04-24 03:47:28+00,146221
Politics,natoeu-troops-fighting-in-ukraine-before-july,natoeu-troops-fighting-in-ukraine-before-july,0xf2e2f963abe30580c47912149afa86db9dfb6c9f0c949ef6ad72cd9653631827,NATO/EU troops fighting in Ukraine before July?,No,closed,2024-02-27T19:10:05.891Z,2024-06-30T00:00:00Z,2024-07-01 06:45:33+00,228580
Politics,will-mahmoud-abbas-still-be-president-of-the-state-of-palestine-by-the-end-of-2023,will-mahmoud-abbas-still-be-president-of-the-state-of-palestine-by-the-end-of-2023,0xff4bfde8a6ea2a52cebb815f0b58ece418b265d18b39c035de3309f918196411,Will Mahmoud Abbas still be President of the State of Palestine by the end of 2023?,Yes,closed,2023-10-09T23:31:53.587Z,2023-12-31T00:00:00Z,2024-01-01 07:05:21+00,35254.8
Politics,us-congress-stock-trading-ban-by-august-31,us-congress-stock-trading-ban-by-august-31,0xfe6a684dc0aafcb6b936a7da2dafac48e47a518f1a7c79fb75f612d2d9d1a813,US congress stock trading ban by August 31?,No,closed,2024-07-10T16:13:08.388Z,2024-08-31T12:00:00Z,2024-09-01 06:04:49+00,79727.1
Politics,iran-strike-on-israel-today,iran-strike-on-israel-today,0xc1b6d7128a66a72fe6d0799e2179135cc903ef3b9f7cc0db6ece551fb6a66597,Iran strike on Israel today?,Yes,closed,2024-10-01T15:22:55.553Z,2024-10-01T12:00:00Z,2024-10-01 19:01:34+00,148732
Politics,will-tim-scott-win-the-us-2024-republican-vice-presidential-nomination,republican-vp-nominee-sm,0x426cf619bab4d089ae92b1cf4ab28a3c86332b53b509e9aeb8b3753afdb168f1,[Single Market] Will Tim Scott win the U.S. 2024 Republican vice presidential nomination?,No,closed,2023-08-21T19:01:12.08Z,2024-09-09T00:00:00Z,2024-07-16 03:00:59+00,5578.79
Politics,biden-vetos-bill-repealing-crypto-accounting-rule,biden-vetos-bill-repealing-crypto-accounting-rule,0x72b8fe66fcc7570f87ee7dffbb4b0e708981e8afb08233addf188839a90051a8,Biden vetos Bill repealing crypto accounting rule?,Yes,closed,2024-05-16T20:44:42.254Z,2024-12-31T12:00:00Z,2024-06-08 15:15:53+00,16884
Politics,iran-military-response-by-august-23,iran-military-response-by-august-23,0xa01f8c4d49984b0274eaf328df98fc50899870c1f977875bc7075ffd6b3292bd,Iran military response by Friday?,No,closed,2024-08-20T14:56:57.135Z,2024-08-23T12:00:00Z,2024-08-24 06:05:01+00,133874
Politics,bill-clinton-arrested-by-jan-10,bill-clinton-arrested-by-jan-10,0x331a0ad79408a5616512bbeace6e277452146d121d6a0886ee26fe56071b650e,Bill Clinton arrested by Jan 10?,No,closed,2024-01-04T00:51:16.903Z,2024-01-10T00:00:00Z,2024-01-11 07:15:22+00,5432.71
Politics,will-nancy-maces-trans-bathroom-bill-pass-in-2024,will-nancy-maces-trans-bathroom-bill-pass-in-2024,0x1c4333d357bfba04f7e364865d5b0cafdd7740c88c6b68c300810794fd385f49,Will Nancy Mace's trans bathroom bill pass in 2024?,No,closed,2024-11-20T21:27:55.322545Z,2024-12-31T12:00:00Z,2025-01-01 07:47:38+00,4016.42
Politics,another-iran-strike-on-israel-by-friday,another-iran-strike-on-israel-by-friday,0x9372742055caba82f16fc0d4c57c4f28bec40052c04ae78c0e8f0f73922281a0,Another Iran strike on Israel by Friday?,No,closed,2024-10-01T20:34:00.552635Z,2024-10-04T12:00:00Z,2024-10-05 06:09:13+00,100479
Politics,abbas-still-president-of-palestine-by-jan-31,abbas-still-president-of-palestine-by-jan-31,0xacd0ff74eed2bd3b8431b49011af667b58b6cacb3ef3d0febae080409a72df22,Abbas still President of Palestine by Jan 31?,Yes,closed,2023-12-26T19:15:34.862Z,2024-01-31T00:00:00Z,2024-02-01 07:03:23+00,851.24
