category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume,keywords
Politics,will-donald-trump-win-the-2024-us-presidential-election,presidential-election-winner-2024,0xdd22472e552920b8438158ea7238bfadfa4f736aa4cee91a6b86c39ead110917,Will Donald Trump win the 2024 US Presidential Election?,Yes,closed,2024-01-04T22:58:00Z,2024-11-05T12:00:00Z,2024-11-06T15:17:41Z,1531479284.504353,trump; biden; congress; senate; policy; legislation; debate; rally; administration; political
Politics,will-kamala-harris-win-the-2024-us-presidential-election,presidential-election-winner-2024,0xc6485bb7ea46d7bb89beb9c91e7572ecfc72a6273789496f78bc5e989e4d1638,Will Kamala Harris win the 2024 US Presidential Election?,No,closed,2024-01-04T23:02:00Z,2024-11-04T12:00:00Z,2024-11-06T18:03:54Z,1037039118.18879,trump; biden; congress; senate; policy; legislation; debate; rally; administration; political
Politics,will-any-other-republican-politician-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x55c551896c10a74861f2fd88b4f928694310114704cc74b29b9760d1156cade6,Will any other Republican Politician win the 2024 US Presidential Election?,No,closed,2024-01-06T20:13:00Z,2024-11-05T00:00:00Z,2024-11-06T19:45:36Z,241655099.850067,trump; biden; congress; senate; policy; legislation; debate; rally; administration; political
Politics,will-kamala-harris-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0x265366ede72d73e137b2b9095a6cdc9be6149290caa295738a95e3d881ad0865,Kamala Harris wins the popular vote?,No,closed,2024-01-09T23:43:00Z,2024-11-05T12:00:00Z,2024-11-12T10:03:19Z,163779786.645492,trump; biden; congress; senate; policy; legislation; debate; rally; administration; political
Politics,will-michelle-obama-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x230144e34a84dfd0ebdc6de7fde37780e28154f6f84dd8880c7f0e58d302d448,Will Michelle Obama win the 2024 US Presidential Election?,No,closed,2024-01-05T22:01:00Z,2024-11-05T00:00:00Z,2024-11-06T19:00:15Z,153382275.618594,trump; biden; congress; senate; policy; legislation; debate; rally; administration; political
Politics,will-robert-f-kennedy-jr-win-the-2024-us-presidential-election,presidential-election-winner-2024,0x7da35195ac3c7bf167f88ab0c27067a99020e36de67d39968b71d9debcdd925e,Will Robert F. Kennedy Jr. win the 2024 US Presidential Election?,No,closed,2024-01-04T23:01:00Z,2024-11-04T12:00:00Z,2024-11-06T18:09:00Z,141605110.748029,trump; biden; congress; senate; policy; legislation; debate; rally; administration; political
Politics,fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,fed-interest-rates-november-2024,0x1fc1e5595adab4d8160b2fe72cfed61131e3d5e61b5c334160d1729d7380ab16,Fed increases interest rates by 25+ bps after November 2024 meeting?,No,closed,2024-08-02T19:36:17.448261Z,2024-11-07T12:00:00Z,2024-11-07T22:44:32Z,133955589.249666,trump; biden; congress; senate; policy; legislation; debate; rally; administration; political
Politics,will-donald-trump-win-the-popular-vote-in-the-2024-presidential-election,presidential-election-popular-vote-winner-2024,0xcd1b6b71a1964f15e2c14809594cbfa0d576270e8ef94c8c24913121097e09e5,Will Donald Trump win the popular vote in the 2024 Presidential Election?,Yes,closed,2024-01-09T23:37:00Z,2024-11-05T12:00:00Z,2024-11-11T22:30:39Z,119932620.818624,trump; biden; congress; senate; policy; legislation; debate; rally; administration; political
Politics,will-any-other-democratic-politician-win-the-2024-us-presidential-election,presidential-election-winner-2024,0xb92f22143e7b48609a82573fa8197dc73683a15acb467b0f51ee63da7e3f520b,Will any other Democratic Politician win the 2024 US Presidential Election?,No,closed,2024-01-06T20:13:00Z,2024-11-05T00:00:00Z,2024-11-06T19:54:53Z,116558196.386525,trump; biden; congress; senate; policy; legislation; debate; rally; administration; political
Politics,will-the-democratic-candidate-win-pennsylvania-by-1pt5-2pt0,pennsylvania-margin-of-victory,0xfc85294228f82de21e18774b133a6db99ddaf4ebe5bf8c4f6c356ae4901d1165,Will the Democratic candidate win Pennsylvania by 1.5%-2.0%?,No,closed,2024-09-17T23:27:20.352Z,2024-11-05T12:00:00Z,2024-12-05T04:16:19Z,109063759.600993,trump; biden; congress; senate; policy; legislation; debate; rally; administration; political
