category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Science and Technology,will-warhammer-40000-space-marine-2-win-game-of-the-year-in-the-2024-steam-awards,steam-awards-game-of-the-year,0x5decbd722afe792770e55de7669f619c36445ab398dc0b1f4577359b12ddc207,"Will 'Warhammer 40,000: Space Marine 2' win Game of the Year in the 2024 Steam Awards?",No,closed,2024-12-19T23:38:11Z,2025-01-31T12:00:00Z,2024-12-31T21:40:11Z,24364.9
Science and Technology,will-elden-ring-win-labor-of-love-in-the-2024-steam-awards,steam-awards-labor-of-love,0x45136f49fefec82513851d46b2af70c7f3439d9091cb0a5d389bd2026db5d9a8,Will 'Elden Ring' win Labor of Love in the 2024 Steam Awards?,Yes,closed,2024-12-19T23:38:04Z,2024-12-31T12:00:00Z,2024-12-31T21:29:41Z,204233
Science and Technology,will-satisfactory-win-most-innovative-gameplay-in-the-2024-steam-awards,steam-awards-most-innovative-gameplay,0xc2101795df09917f618858410047f0f7ab52b3b6fd34404afee46412ed2c84f2,Will 'Satisfactory' win Most Innovative Gameplay in the 2024 Steam Awards?,No,closed,2024-12-19T23:37:57Z,2024-12-31T12:00:00Z,2024-12-31T21:44:43Z,4559.18
Science and Technology,will-liars-bar-win-most-innovative-gameplay-in-the-2024-steam-awards,steam-awards-most-innovative-gameplay,0xdb418d3cb28964761df29bc39bdbe3fe52b41cd46dda765bcff38dd18633a8de,Will 'Liar's Bar' win Most Innovative Gameplay in the 2024 Steam Awards?,Yes,closed,2024-12-19T23:36:53Z,2024-12-31T12:00:00Z,2024-12-31T21:49:23Z,82962.4
Science and Technology,will-no-mans-sky-win-labor-of-love-in-the-2024-steam-awards,steam-awards-labor-of-love,0x724647d331ece95c4d592a0a2820de31fb402aec96b7050ef9c3a3ed9121ae09,Will 'No Man's Sky' win Labor of Love in the 2024 Steam Awards?,No,closed,2024-12-19T23:36:29Z,2024-12-31T12:00:00Z,2024-12-31T21:34:53Z,31308
Science and Technology,will-helldivers-2-win-game-of-the-year-in-the-2024-steam-awards,steam-awards-game-of-the-year,0x2f9edac105b21b1747fd8cf070339d6c62ff6cf568d278bb09f4725691858bf6,Will 'Helldivers 2' win Game of the Year in the 2024 Steam Awards?,No,closed,2024-12-19T23:36:22Z,2025-01-31T12:00:00Z,2024-12-31T21:44:47Z,41182.4
Science and Technology,will-balatro-win-game-of-the-year-in-the-2024-steam-awards,steam-awards-game-of-the-year,0x1557d7e36a780337700de6b2d63dcc6b6f4fc82827abb1bf83ebf8d5998ab61b,Will 'Balatro' win Game of the Year in the 2024 Steam Awards?,No,closed,2024-12-19T23:30:33Z,2025-01-31T12:00:00Z,2024-12-31T21:49:19Z,32645.6
Science and Technology,will-dota-2-win-labor-of-love-in-the-2024-steam-awards,steam-awards-labor-of-love,0x9452976c36f49779d426997bfeb96804c352196189f6833e014b6862b08c162d,Will 'DOTA 2' win Labor of Love in the 2024 Steam Awards?,No,closed,2024-12-19T23:30:27Z,2024-12-31T12:00:00Z,2024-12-31T21:34:57Z,14198.5
Science and Technology,will-helldivers-2-win-most-innovative-gameplay-in-the-2024-steam-awards,steam-awards-most-innovative-gameplay,0x49f0ed76bbbd0bdfb3d5b89f730d3ab18b6880b581dbec0c7f38b4297874b481,Will 'Helldivers 2' win Most Innovative Gameplay in the 2024 Steam Awards?,No,closed,2024-12-19T23:30:22Z,2024-12-31T12:00:00Z,2024-12-31T21:49:13Z,4984.46
Science and Technology,will-baldurs-gate-3-win-labor-of-love-in-the-2024-steam-awards,steam-awards-labor-of-love,0x8bf7ee388840117f292a17b1fb097edb5dac56f15f20e9dda27334f62830ff45,Will 'Baldur's Gate 3' win Labor of Love in the 2024 Steam Awards?,No,closed,2024-12-19T23:28:47Z,2024-12-31T12:00:00Z,2024-12-31T21:40:01Z,21805.3
Science and Technology,will-stalker-2-heart-of-chernobyl-win-most-innovative-gameplay-in-the-2024-steam-awards,steam-awards-most-innovative-gameplay,0xc0a513d940d47b0faf6e823260af3195ffa5add6f31454be91653a862de25eda,Will 'Stalker 2: Heart of Chernobyl' win Most Innovative Gameplay in the 2024 Steam Awards?,No,closed,2024-12-19T23:28:47Z,2024-12-31T12:00:00Z,2024-12-31T21:53:53Z,2886.55
Science and Technology,will-stalker-2-heart-of-chernobyl-win-game-of-the-year-in-the-2024-steam-awards,steam-awards-game-of-the-year,0xa6c94d5515933a15772bd73a3fbb573f1004e230738c500fa82fcae2bdd5531d,Will 'Stalker 2: Heart of Chernobyl' win Game of the Year in the 2024 Steam Awards?,No,closed,2024-12-19T23:28:42Z,2025-01-31T12:00:00Z,2024-12-31T21:49:31Z,23736.9
Science and Technology,will-black-myth-wukong-win-game-of-the-year-in-the-2024-steam-awards,steam-awards-game-of-the-year,0xbc15fb0d41203120dbad5b2db8ca515f2e3072c3dfb045562bbec2086703ae04,Will 'Black Myth: Wukong' win Game of the Year in the 2024 Steam Awards?,Yes,closed,2024-12-19T23:27:52Z,2025-01-31T12:00:00Z,2024-12-31T21:49:33Z,399559
Science and Technology,will-stardew-valley-win-labor-of-love-in-the-2024-steam-awards,steam-awards-labor-of-love,0x52150c9513c7ae6406641f92b8b0f135ead4cab51936bed4c63d92bf6b92fbe2,Will 'Stardew Valley' win Labor of Love in the 2024 Steam Awards?,No,closed,2024-12-19T23:27:48Z,2024-12-31T12:00:00Z,2024-12-31T21:39:57Z,112671
