category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Science and Technology,x-banned-in-brazil-before-october,x-banned-in-brazil-before-october,0x507becc99014e962f45b7cf9e36bb41bc0d8f304bbfbcee4dcd2d6d162627c8e,X banned in Brazil before October?,Yes,closed,2024-08-29T17:20:41Z,2024-09-30T12:00:00Z,2024-08-30T23:00:28Z,17992.3
Science and Technology,x-banned-in-brazil-by-friday,x-banned-in-brazil-by-friday,0x05d65478b253dfc20438a538fbe96e85c87042df3cbda5c33f9c1a3d67472d6b,X banned in Brazil by Friday?,Yes,closed,2024-08-29T17:12:02Z,2024-08-30T12:00:00Z,2024-08-30T22:50:38Z,255993
Science and Technology,pavel-durov-released-in-august,pavel-durov-released-in-august,0x2fc417b2e4f3be9d8007d48bcab0e9c3015c4e988f0faf3d081f08ffe0317503,Pavel Durov released in August?,Yes,closed,2024-08-25T15:28:09Z,2024-08-31T12:00:00Z,2024-08-29T00:06:09Z,2.43562e+06
Science and Technology,stranded-astronauts-depart-on-boeing-starliner-by-aug-15,stranded-astronauts-depart-on-boeing-starliner-by-aug-15,0x17117abf359487f1f6851e4e8319377145d481dbe3a27d08745361bb8f964fe3,Will stranded astronauts leave the ISS by August 15? ,No,closed,2024-08-02T21:14:51Z,2024-08-15T12:00:00Z,2024-08-16T06:09:09Z,61208
Science and Technology,will-beryl-hit-us-as-a-hurricane,will-beryl-hit-us-as-a-hurricane,0x98250663bed7a74c9fcabb505f60fc026c48470b14a88c0b5f34ae1f774a3eff,Will Beryl hit US as a hurricane?,Yes,closed,2024-07-02T04:01:45Z,2024-07-08T12:00:00Z,2024-07-09T06:05:58Z,27549.5
Science and Technology,nvidia-largest-company-in-july,nvidia-largest-company-in-july,0xd6736893caeffd692370e128a99abfba406f465b7405cd65e264be744e36e991,NVIDIA largest company in July?,No,closed,2024-07-01T17:48:35Z,2024-07-31T12:00:00Z,2024-08-01T23:19:32Z,67304.9
Science and Technology,stranded-astronauts-return-on-boeing-starliner-by-july-4,stranded-astronauts-return-on-boeing-starliner-by-july-4,0x71dfcc163a40472f0ec1f110184f5a7eab093dad3e3b47909f79764b96f07444,Stranded astronauts depart on Boeing Starliner by July 4?,No,closed,2024-06-21T19:59:43Z,2024-07-04T12:00:00Z,2024-07-05T06:47:31Z,21010.3
Science and Technology,stranded-astronauts-depart-on-boeing-starliner-by-july-21,stranded-astronauts-depart-on-boeing-starliner-by-july-21,0xd6dc09210b8326511175f8d7adb3c9743eba77f10c24a6a71b9449e5ab5ea534,Stranded astronauts depart on Boeing Starliner by July 21?,No,closed,2024-06-21T19:51:54Z,2024-07-21T12:00:00Z,2024-07-22T06:14:15Z,23050.2
Science and Technology,nvidia-largest-company-on-june-21,largest-company-on-june-21,0x7ae4185eb4d94710587314feabfacd7539ebc7e00b7e51c2c821c6e45e84b2a4,Nvidia largest company on June 21?,No,closed,2024-06-14T20:45:33Z,2024-06-21T12:00:00Z,2024-06-21T23:18:01Z,59454.5
Science and Technology,another-largest-company-on-june-21,largest-company-on-june-21,0x90d7fa310b2524ef79eadb983103d5c570f21af75439a5284a2d34e51228b519,Another largest company on June 21?,No,closed,2024-06-14T20:39:34Z,2024-06-21T12:00:00Z,2024-06-21T23:18:07Z,15411.9
Science and Technology,apple-largest-company-on-june-21,largest-company-on-june-21,0x5871fa3d5628921115fe1c26b42e13d4fbca108f999076d990c5c8facdd7a689,Apple largest company on June 21?,No,closed,2024-06-14T20:39:24Z,2024-06-21T12:00:00Z,2024-06-21T23:23:15Z,32316.1
Science and Technology,nvidia-largest-company-before-july,nvidia-largest-company-before-july,0x4cbb42db7f696576c7e9f44d3d8a97956e82ff61f755dd53e5b737338749d841,NVIDIA largest company before July?,Yes,closed,2024-06-11T03:07:02Z,2024-06-28T12:00:00Z,2024-06-18T19:07:03Z,29392.2
Science and Technology,openai-sora-public-release-before-july,openai-sora-public-release-before-july,0x982538c7afc82604bbf34c8df251e8e173bd6a7eeaf905d68b08aec11532f467,OpenAI Sora public release in June?,No,closed,2024-06-07T14:27:01Z,2024-06-30T12:00:00Z,2024-07-01T06:15:40Z,4476.61
Science and Technology,spacex-starship-launch-by-thursday,spacex-starship-launch-by-thursday,0xab82c8f9a8d22186fcbb234899fa9394e7e015770466da69556affad13d63354,SpaceX Starship launch by Thursday?,Yes,closed,2024-06-05T20:01:36Z,2024-06-06T12:00:00Z,2024-06-06T16:14:39Z,8781.36
Science and Technology,nvidia-largest-company-by-june-30,nvidia-largest-company-by-june-30,0x952c3d735eafb83572409eb071011f9f8fc51f365a387b9f48600a92f6f2eb83,NVIDIA largest company before June 15?,No,closed,2024-06-05T17:50:17Z,2024-06-14T12:00:00Z,2024-06-14T22:13:40Z,352823
Science and Technology,spacex-4th-starship-launch-survives-re-entry,spacex-4th-starship-launch-survives-re-entry,0x5e6db9683b6c4c90e21e8b360275d0bb9d10f4e565b4295b80e6cc7d2ca42cec,SpaceX 4th Starship launch survives re-entry?,Yes,closed,2024-06-05T17:20:13Z,2024-12-31T12:00:00Z,2024-06-06T18:53:43Z,4024.3
Science and Technology,apple-openai-deal-announced-by-friday,apple-openai-deal-announced-by-friday,0xde68d1f2a77415efabb5af33355a9c077fb598b26dd23ecb7dac6fe019b5c54d,Apple + OpenAI deal announced by Friday?,No,closed,2024-05-13T19:19:23Z,2024-05-17T12:00:00Z,2024-05-18T06:05:00Z,9322.52
Science and Technology,will-may-2024-show-an-increase-of-less-than-1pt03c,may-2024-temperature-increase-c,0x07954fd1965dea6b78eaa5f6823d3546b8219a284fd89b27454b7f05f4098340,Will May 2024 show an increase of less than 1.03C?,No,closed,2024-05-10T20:53:03Z,2024-06-01T12:00:00Z,2024-06-11T21:05:00Z,128471
Science and Technology,will-may-2024-show-an-increase-greater-than-1pt30c,may-2024-temperature-increase-c,0xeb6caf5a1d87fc80e5a1f2c6c9a893d49b335b8274dcfbbc77356fea6c01fdea,Will May 2024 show an increase greater than 1.30C?,No,closed,2024-05-10T19:58:19Z,2024-05-31T12:00:00Z,2024-06-11T21:19:58Z,89595.8
Science and Technology,will-may-2024-show-an-increase-between-1pt24c-1pt30c,may-2024-temperature-increase-c,0x9cd8df6408d34f26762626d0e14ee9335a1f6cd744c1008994a2a6b1383f3354,Will May 2024 show an increase between 1.24°C-1.30°C,No,closed,2024-05-10T19:58:18Z,2024-06-01T12:00:00Z,2024-06-11T21:15:04Z,77492.6
Science and Technology,will-mrbeasts-next-video-be-30-minutes,will-mrbeasts-next-video-be-30-minutes,0x6906526e846584a8bd50994e790016eae5a149f0d848738c43a77fcf3e706381,Will MrBeast's next video be 30+ minutes?,No,closed,2024-04-22T21:27:22Z,2024-07-31T12:00:00Z,2024-04-27T18:06:29Z,9771.95
Science and Technology,mrbeast-biggest-youtube-channel-by-june-30,mrbeast-biggest-youtube-channel-by-june-30,0xa428ac2510adc1afc93d77b2fb0fd68f35254b4a30be2c335467956fc70e66f1,MrBeast biggest YouTube channel by June 30?,Yes,closed,2024-04-22T19:11:01Z,2024-06-30T12:00:00Z,2024-06-02T05:22:13Z,185090
Science and Technology,will-april-2024-show-an-increase-of-greater-than-1pt31c,how-hot-will-april-2024-be,0x808fc2450113e86e89787be4bcd033ad198c656fe4d18bd7f48a4443f72acd8c,Will April 2024 show an increase of greater than 1.31°C?,Yes,closed,2024-04-11T00:18:27Z,2024-05-01T12:00:00Z,2024-05-10T18:25:34Z,97500.6
Science and Technology,will-april-2024-show-an-increase-of-between-1pt26c-1pt31c,how-hot-will-april-2024-be,0x4871e138b2ce626ff72ef12009ffa5dea965252b40135db45a74e0142661240a,Will April 2024 show an increase of between 1.26°C-1.31°C?,No,closed,2024-04-11T00:18:16Z,2024-05-01T12:00:00Z,2024-05-10T19:19:58Z,48763.3
Science and Technology,will-april-2024-show-an-increase-between-1pt20c-1pt25c,how-hot-will-april-2024-be,0x7fe1c5da1d0b1adac75a6b185a8ac59849ce20bfd2019ed7d45ef65a08a64c5c,Will April 2024 show an increase between 1.20°C-1.25°C?,No,closed,2024-04-11T00:18:05Z,2024-05-01T12:00:00Z,2024-05-10T19:14:42Z,98020.4
Science and Technology,will-april-2024-show-an-increase-between-1pt14c-1pt19c,how-hot-will-april-2024-be,0x0b566f7c936578ed6bccdeacf85919ae01d6e4186081a53b895dd70d95522867,Will April 2024 show an increase between 1.14°C-1.19°C?,No,closed,2024-04-11T00:17:56Z,2024-05-01T12:00:00Z,2024-05-10T19:19:52Z,63629
