category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume,keywords
Science and Technology,global-heat-increase-between-1pt22c-and-1pt24c-for-2024,global-heat-increase-2024,0x43905da101b102a1867fcb36b15b41b29282b568202f079152933e021cc2b8cf,Global heat increase between 1.22°C and 1.24°C for 2024?,No,closed,2024-08-28T20:33:06.236Z,2024-12-31T12:00:00Z,2025-01-10T19:37:21Z,9466873.29085309,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-there-be-less-than-16-named-storms-during-atlantic-hurricane-season,how-many-named-storms-during-atlantic-hurricane-season-2024,0xa8b22d7d3402b9823aca8ba68fa9beee749049bf67b8efa0935fcb8963d5d357,Will there be less than 16 named storms during Atlantic Hurricane Season?,No,closed,2024-05-02T19:18:02.699Z,2024-12-01T12:00:00Z,2024-11-02T16:00:30Z,3618939.17235,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,2024-august-hottest-on-record,2024-august-hottest-on-record,0x1731c2d00c722fa4d53d1bddae549f14cf1870e2cf59dc040e7791046672cda5,2024 August hottest on record?,Yes,closed,2024-08-01T16:25:01.134222Z,2024-08-31T12:00:00Z,2024-09-10T17:05:57Z,3610313.640029,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,is-the-room-temp-superconductor-real,is-the-room-temp-superconductor-real,0xb0e72032ff0155c4dfbf0d5b8da76c07f13b99c01f1fb8e3b84b2926c21594f1,Is the Room-Temp Superconductor real?,No,closed,2023-07-26T16:32:30.891Z,2023-12-31T00:00:00Z,2024-01-01T07:32:15Z,3594399.782363,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,will-the-us-confirm-that-aliens-exist-in-2024,will-the-us-confirm-that-aliens-exist-in-2024,0x1f1d2d92a31adf9f9f4691d61549e6a98af1e3eb2a6f99e2ebfeaa657ecb03af,Will the US confirm that aliens exist in 2024?,No,closed,2024-07-01T15:58:30.842085Z,2024-12-31T12:00:00Z,2025-01-01T07:48:14Z,3542994.84527594,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,2024-july-hottest-on-record,2024-july-hottest-on-record,0x26d85d02667c5b92fb17e678bf347e2ba741621efd37673603b874af51512e4a,2024 July hottest on record?,Yes,closed,,2024-07-31T12:00:00Z,2024-08-09T17:19:59Z,2715913.380904,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,global-heat-increase-less-than-1pt22c-for-2024,global-heat-increase-2024,0x16a920cf5afde2c3c2488e18c028d938d054e420e05b5516e30c6c64de0f1247,Global heat increase less than 1.22°C for 2024?,No,closed,2024-08-28T20:33:13.192Z,2024-12-31T12:00:00Z,2025-01-10T19:37:27Z,1851494.64124316,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,zksync-airdrop-by-june-30,airdrops-by-june-30,0xb94b3f423602fc4c7914fff5c14f4f0f7ea61f997535d00d8d03f7213b2c6113,zkSync airdrop by June 30?,Yes,closed,2024-02-14T21:38:00Z,2024-06-28T12:00:00Z,2024-06-17T09:31:18Z,1735369.911295,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,2024-november-hottest-on-record,2024-november-hottest-on-record,0x96406c76970baa76db90cf64e7ed96c7f3f12012107a11ea770cf67b7e67451f,2024 November hottest on record?,No,closed,2024-11-06T16:25:11.182Z,2024-11-30T12:00:00Z,2024-12-10T18:14:01Z,1731794.279741,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,global-heat-increase-between-1pt25c-and-1pt27c-for-2024,global-heat-increase-2024,0xc5e47c2e972c8359159e83136275d5570e2339f0b6b05bd341146167b9420c81,Global heat increase between 1.25°C and 1.27°C for 2024?,No,closed,2024-08-28T20:33:02.586Z,2024-12-31T12:00:00Z,2025-01-10T19:32:16Z,1731345.16437,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
Science and Technology,confirmed-case-of-monkeypox-in-us-by-aug-31,confirmed-case-of-monkeypox-in-us-by-aug-31,0x5d472b70e7591081c886efea8fff32887305b7484f9fa1f011f8ad3a83e22adb,Confirmed case of monkeypox in US by Aug 31?,No,closed,2024-08-15T20:03:16.58Z,2024-08-31T12:00:00Z,2024-09-01T06:14:57Z,1319282.89687,ai; artificial intelligence; nasa; space; launch; research; discovery; gaming; technology; science
