category,market_slug,event_slug,condition_id,title,resolution,status,open_time,close_time,settlement_ts,volume
Science and Technology,will-the-us-confirm-that-aliens-exist-before-2027-789,will-the-us-confirm-that-aliens-exist-before-2027,0x747dc809fb79e1b05be09c42d6179459a58de2ef3e40f02484a4e1260f741f75,Will the US confirm that aliens exist before 2027?,,open,2025-11-25T18:05:19.721Z,2026-12-31T00:00:00Z,,2.46004e+07
Science and Technology,will-nebius-group-be-acquired-before-2027-514,which-companies-will-be-acquired-before-2027,0x733a3bb1f78a42bdf60092866ceb931664fb1dae1d66d3a6d2cf7b72cec96400,Will Nebius Group be acquired before 2027?,,open,2025-11-24T17:49:17.883653Z,2026-12-31T00:00:00Z,,7.90679e+06
Science and Technology,will-there-be-at-least-10000-measles-cases-in-the-us-in-2026-418-668-617,measles-cases-in-us-in-2026,0x1d916047bbca1be9808076a0590c17ff113fb92986a4b4bc7f0f962642158827,Will there be at least 10000 measles cases in the U.S. in 2026?,,open,2025-12-01T17:57:07.687Z,2026-12-31T00:00:00Z,,6.48484e+06
Science and Technology,will-perplexity-ai-be-acquired-before-2027-776,which-companies-will-be-acquired-before-2027,0x3d2fc07e08c46d8f642f56e5f8c08763df53a3f9d96073a117ce564368cace5f,Will Perplexity AI be acquired before 2027?,,open,2025-11-24T17:49:17.12121Z,2026-12-31T00:00:00Z,,2.37467e+06
Science and Technology,ai-industry-downturn-by-december-31-2026-857,ai-bubble-burst-by,0x857398c4502bc725fef7efb3cd503a30d3e18e486ab8173fdf505a76cf83b168,AI bubble burst in 2026?,,open,2025-11-20T00:24:18.369Z,2026-12-31T00:00:00Z,,2.16072e+06
Science and Technology,human-moon-landing-in-2026,human-moon-landing-in-2026,0x57e94552876e125c4a030239d693576dac1792e956982b653ce8c9b4fbc8f23c,Human moon landing in 2026?,,open,2026-01-07T21:02:43.505437Z,2026-12-31T00:00:00Z,,1.90935e+06
Science and Technology,will-viking-therapeutics-be-acquired-before-2027-542,which-companies-will-be-acquired-before-2027,0x06b066958f047d9f684a60ba923966ffd581bcda87436327d475bdfbd0d1d34f,Will Viking Therapeutics be acquired before 2027?,,open,2025-11-24T17:49:17.375999Z,2026-12-31T00:00:00Z,,1.67998e+06
Science and Technology,will-spacexs-public-ticker-be-sex-544,what-will-spacexs-public-ticker-be,0xafb67293d7e12d87cf4ba22e4eb89f1eea353b11c6febaf6b9832213c4529367,Will SpaceX's public ticker be $SEX?,,open,2025-12-13T21:50:06.5346Z,2027-12-31T00:00:00Z,,1.36456e+06
Science and Technology,will-gitlab-be-acquired-before-2027-944,which-companies-will-be-acquired-before-2027,0x0a38466723190708a5d78ed194ddb097dd690f89a5ec4f73c4e5cc9e0a0fbd98,Will GitLab be acquired before 2027?,,open,2025-11-24T17:49:15.340409Z,2026-12-31T00:00:00Z,,1.15584e+06
Science and Technology,will-bp-be-acquired-before-2027-549,which-companies-will-be-acquired-before-2027,0x4921cf738e7d1102b99b857635472c2ecc20e7a553baf05e31584a2fb90b0aae,Will BP be acquired before 2027?,,open,2025-11-24T17:49:15.848813Z,2026-12-31T00:00:00Z,,1.04618e+06
Science and Technology,openai-ipo-closing-market-cap-above-1t,openai-ipo-closing-market-cap-above,0x7080086a82babdb1b556ddc543ce616f82764c40c3860002e0ab38396eb8078b,OpenAI IPO closing market cap above $1T?,,open,2026-01-31T00:27:27.572Z,2027-12-31T00:00:00Z,,1.04101e+06
Science and Technology,will-lovable-be-acquired-before-2027-423,which-companies-will-be-acquired-before-2027,0x8452ab75745818363066cb7ccca1accedb926eb71c3098cc5458395bcbf65c3f,Will Lovable be acquired before 2027?,,open,2025-11-24T17:49:18.307162Z,2026-12-31T00:00:00Z,,942145
