model,market_id,domain,source,brier_score,forecast_prob,outcome,R_local_tight,R_local_medium,R_local_broad,share_correct,share_approx,share_wrong,difficulty
gpt-5-5,0xb9a94d946986a43351b7008a254b7459fb75dd2d7b2cff793f13bfc736c085fc,ClimateMarkets,recall,0.0001,0.01,0.0,0.33333332671059396,0.5500000065565122,0.4999999491253245,0.5,0.1,0.4,0.3822151945997059
gpt-5-5,0x90253525b201c9b7257bca40036c5cc9afb9ae709c4badfe99cc0ff5fae9dce7,ClimateMarkets,recall,0.9801,0.99,0.0,0.33333332671059396,0.45000000536441903,0.5101009581985634,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0xc0b0c6d7795453a6c2da700496583354384f012b79c53e98bc2d7fa91586348e,ClimateMarkets,recall,2.5e-05,0.005,0.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0xa8b22d7d3402b9823aca8ba68fa9beee749049bf67b8efa0935fcb8963d5d357,ClimateMarkets,recall,0.0001,0.01,0.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0x43905da101b102a1867fcb36b15b41b29282b568202f079152933e021cc2b8cf,ClimateMarkets,recall,0.0009,0.03,0.0,0.33333332671059396,0.45000000536441903,0.5101009581985634,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0x5abbde9c0c4e0844438d66f9f94ad548f6bf591086f3de7ae124215a6c8e3429,ClimateMarkets,recall,0.0001,0.01,0.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0xefc3ed55ea013e7f75ad53fa9670d704dba5428417d38a37232092f60ace44fd,ClimateMarkets,recall,0.0001,0.01,0.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0xcfade890130c9156602dbc9589af4277b2480b674488e0b74534c14da057f7bb,ClimateMarkets,recall,0.990025,0.995,0.0,0.33333332671059396,0.45000000536441903,0.5101009581985634,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0xe92fb17880e1bc7ff13f25f5bfef59aca43691f5800fda43b4cec5e982fcc814,ClimateMarkets,recall,0.0001,0.01,0.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0x6c9c6fbd8798865f20547233e6a4ef00076c6774d51d858b540e41d31dbcc4f1,ClimateMarkets,recall,0.00010000000000000018,0.99,1.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0x80deadab86a66618fe685e817bf72c57e97eb4d9e80bd0deafbbcad672d20758,ClimateMarkets,recall,0.0004,0.02,0.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0xdc38b041dac04feb5136d909c1b5e4912f538e851cd14eac48d2af5f95a07e6a,ClimateMarkets,recall,0.00010000000000000018,0.99,1.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0x1e77eb99e2bcc6d0c5b4931744780af128b8ddd8090a8673870f09bef4e56db3,ClimateMarkets,recall,0.0009000000000000016,0.97,1.0,0.33333332671059396,0.45000000536441903,0.505050453661944,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0x57804dfa458ef25a1ffb46d46d19e726adeef9dbefddc3ce7ca7f363130701d7,ClimateMarkets,recall,0.0001,0.01,0.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0x2378951c1797e85658ab0d2460305a258ee3c802e549fd55653b190dd1d36782,ClimateMarkets,recall,0.0,1.0,1.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
gpt-5-5,0xec863f6b45e78fd9edd6d21a85542eeda3a31e163f8d0a3cd283d68f605b9fb6,ClimateMarkets,recall,0.00010000000000000018,0.99,1.0,0.33333332671059396,0.45000000536441903,0.4999999491253245,0.4,0.1,0.5,0.3822151945997059
