model,domain,brier,R_md,R_md_excl_null,difficulty,naive_brier
claude-opus-4-7_1000,ClimateMarkets,0.12714599999999998,0.605,0.9166666666666666,0.3822151945997059,0.12905182046979866
claude-opus-4-7_1000,CommoditiesMarkets,0.08482237762237763,0.4866666666666667,0.8488372093023255,0.5020800371373583,0.08341909430604981
claude-opus-4-7_1000,CompaniesMarkets,0.10572027027027026,0.57,0.8814432989690721,0.3533932030636665,0.13913259891304344
claude-opus-4-7_1000,EconomicsMarkets,0.06655466666666664,0.83,0.9651162790697675,0.3894085519388555,0.12446533687943263
claude-opus-4-7_1000,ElectionsMarkets,0.05049347826086956,0.7466666666666667,0.9572649572649573,0.3250724586414635,0.14989354000000002
claude-opus-4-7_1000,EntertainmentMarkets,0.07970342465753424,0.6533333333333333,0.9423076923076923,0.506222009707913,0.07733700292968751
claude-opus-4-7_1000,FinancialsMarkets,0.13171148648648648,0.5033333333333333,0.848314606741573,0.44213289093142705,0.10815076013513514
claude-opus-4-7_1000,PoliticsMarkets,0.09626874999999999,0.68,0.9622641509433962,0.3931150770795203,0.12584813131313133
claude-opus-4-7_1000,ScienceTechnologyMarkets,0.11957278911564624,0.61,0.9432989690721649,0.40265657966465956,0.12106651071428572
claude-sonnet-4-6_1000,ClimateMarkets,0.14515003999999998,0.585,0.8863636363636364,0.3822151945997059,0.12905182046979866
claude-sonnet-4-6_1000,CommoditiesMarkets,0.11109090909090909,0.6166666666666667,0.8644859813084113,0.5020800371373583,0.08341909430604981
claude-sonnet-4-6_1000,CompaniesMarkets,0.14701622297297295,0.5233333333333333,0.8626373626373627,0.3533932030636665,0.13913259891304344
claude-sonnet-4-6_1000,EconomicsMarkets,0.08550066666666666,0.82,0.9609375,0.3894085519388555,0.12446533687943263
claude-sonnet-4-6_1000,ElectionsMarkets,0.0819195652173913,0.6933333333333334,0.9043478260869565,0.3250724586414635,0.14989354000000002
claude-sonnet-4-6_1000,EntertainmentMarkets,0.12632397260273973,0.6066666666666667,0.91,0.506222009707913,0.07733700292968751
claude-sonnet-4-6_1000,FinancialsMarkets,0.19085202702702703,0.4166666666666667,0.8223684210526315,0.44213289093142705,0.10815076013513514
claude-sonnet-4-6_1000,PoliticsMarkets,0.12185211805555556,0.6866666666666666,0.9196428571428571,0.3931150770795203,0.12584813131313133
claude-sonnet-4-6_1000,ScienceTechnologyMarkets,0.1715408231292517,0.5566666666666666,0.8978494623655914,0.40265657966465956,0.12106651071428572
gemini-3.1-pro-preview,ClimateMarkets,0.11387900000000001,0.62,1.0,0.3822151945997059,0.12905182046979866
gemini-3.1-pro-preview,CommoditiesMarkets,0.07163356643356644,0.6266666666666667,0.8703703703703703,0.5020800371373583,0.08341909430604981
gemini-3.1-pro-preview,CompaniesMarkets,0.10708716216216216,0.64,0.9142857142857143,0.3533932030636665,0.13913259891304344
gemini-3.1-pro-preview,EconomicsMarkets,0.05784733333333333,0.85,0.9732824427480916,0.3894085519388555,0.12446533687943263
gemini-3.1-pro-preview,ElectionsMarkets,0.030271014492753625,0.8133333333333334,0.9606299212598425,0.3250724586414635,0.14989354000000002
gemini-3.1-pro-preview,EntertainmentMarkets,0.05150136986301369,0.74,0.925,0.506222009707913,0.07733700292968751
gemini-3.1-pro-preview,FinancialsMarkets,0.09123378378378377,0.6166666666666667,0.9068627450980392,0.44213289093142705,0.10815076013513514
gemini-3.1-pro-preview,PoliticsMarkets,0.09666666666666665,0.6866666666666666,0.9809523809523809,0.3931150770795203,0.12584813131313133
gemini-3.1-pro-preview,ScienceTechnologyMarkets,0.1255265306122449,0.62,0.9587628865979382,0.40265657966465956,0.12106651071428572
gpt-5-5,ClimateMarkets,0.14246307407407408,0.505,0.8145161290322581,0.3822151945997059,0.12905182046979866
gpt-5-5,CommoditiesMarkets,0.0619550909090909,0.39666666666666667,0.8380281690140845,0.5020800371373583,0.08341909430604981
gpt-5-5,CompaniesMarkets,0.08749905042016808,0.5233333333333333,0.8820224719101124,0.3533932030636665,0.13913259891304344
gpt-5-5,EconomicsMarkets,0.05159182876712329,0.87,0.9456521739130435,0.3894085519388555,0.12446533687943263
gpt-5-5,ElectionsMarkets,0.020575582677165357,0.7633333333333333,0.8740458015267175,0.3250724586414635,0.14989354000000002
gpt-5-5,EntertainmentMarkets,0.04694285074626866,0.71,0.9181034482758621,0.506222009707913,0.07733700292968751
gpt-5-5,FinancialsMarkets,0.09517507826086957,0.49666666666666665,0.8662790697674418,0.44213289093142705,0.10815076013513514
gpt-5-5,PoliticsMarkets,0.09604568155555555,0.61,0.8632075471698113,0.3931150770795203,0.12584813131313133
gpt-5-5,ScienceTechnologyMarkets,0.10788966141732284,0.5466666666666666,0.9111111111111111,0.40265657966465956,0.12106651071428572
