benchmark_id,phase,domain,market_ticker,series_ticker,event_ticker,title,resolution,status,open_time,close_time,close_date,settlement_ts,volume,source_csv
economics_phase_i_001,phase_i,Economics,FED-24JUN-T5.25,KXFED,FED-24JUN,Will the upper bound of the federal funds rate be above 5.25% following the Fed's June meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-06-12T17:55:00Z,2024-06-12,2024-06-13T08:06:00.644397Z,1349824,Research/EconomicsMarkets/markets.csv
economics_phase_i_002,phase_i,Economics,FED-24MAY-T5.25,KXFED,FED-24MAY,Will the upper bound of the federal funds rate be above 5.25% following the Fed's May meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-02T08:07:00.611969Z,705302,Research/EconomicsMarkets/markets.csv
economics_phase_i_003,phase_i,Economics,FED-24MAR-T5.25,KXFED,FED-24MAR,Will the upper bound of the federal funds rate be above 5.25% following the Fed's March meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-03-20T17:55:00Z,2024-03-20,2024-03-21T08:07:00.239063Z,667089,Research/EconomicsMarkets/markets.csv
economics_phase_i_004,phase_i,Economics,FEDDECISION-24JUN-H0,KXFEDDECISION,FEDDECISION-24JUN,Will the Federal Reserve Hike rates by 0bps at their June 2024 meeting?,yes,finalized,2024-05-01T14:00:00Z,2024-06-12T17:55:00Z,2024-06-12,2024-06-12T20:11:01.276236Z,458584,Research/EconomicsMarkets/markets.csv
economics_phase_i_005,phase_i,Economics,FEDDECISION-24JUN-C25,KXFEDDECISION,FEDDECISION-24JUN,Will the Federal Reserve Cut rates by 25bps at their June 2024 meeting?,no,finalized,2024-05-01T14:00:00Z,2024-06-12T17:55:00Z,2024-06-12,2024-06-12T20:11:01.276236Z,407221,Research/EconomicsMarkets/markets.csv
economics_phase_i_006,phase_i,Economics,FED-24MAR-T5.00,KXFED,FED-24MAR,Will the upper bound of the federal funds rate be above 5.00% following the Fed's March meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-03-20T17:55:00Z,2024-03-20,2024-03-21T08:07:00.263935Z,399013,Research/EconomicsMarkets/markets.csv
economics_phase_i_007,phase_i,Economics,FED-24MAR-T4.75,KXFED,FED-24MAR,Will the upper bound of the federal funds rate be above 4.75% following the Fed's March meeting?,yes,finalized,2023-07-06T14:00:00Z,2024-03-20T17:55:00Z,2024-03-20,2024-03-21T08:07:00.724043Z,357892,Research/EconomicsMarkets/markets.csv
economics_phase_i_008,phase_i,Economics,FEDDECISION-24MAY-H0,KXFEDDECISION,FEDDECISION-24MAY,Will the Federal Reserve Hike rates by 0bps at their May 2024 meeting?,yes,finalized,2024-03-20T18:05:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-01T20:11:00.937079Z,333580,Research/EconomicsMarkets/markets.csv
economics_phase_i_009,phase_i,Economics,FED-24JUN-T5.50,KXFED,FED-24JUN,Will the upper bound of the federal funds rate be above 5.50% following the Fed's June meeting?,no,finalized,2023-07-06T14:00:00Z,2024-06-12T17:55:00Z,2024-06-12,2024-06-13T08:06:00.699597Z,269938,Research/EconomicsMarkets/markets.csv
economics_phase_i_010,phase_i,Economics,FEDDECISION-24MAR20-H0,KXFEDDECISION,FEDDECISION-24MAR20,Will the Federal Reserve Hike rates by 0bps at their March 2024 meeting?,yes,finalized,2024-01-31T19:05:00Z,2024-03-20T17:55:00Z,2024-03-20,2024-03-20T20:08:00.408598Z,255738,Research/EconomicsMarkets/markets.csv
economics_phase_i_011,phase_i,Economics,FEDDECISION-24MAY-C25,KXFEDDECISION,FEDDECISION-24MAY,Will the Federal Reserve Cut rates by 25bps at their May 2024 meeting?,no,finalized,2024-03-20T18:05:00Z,2024-05-01T17:55:00Z,2024-05-01,2024-05-01T20:11:00.937079Z,248882,Research/EconomicsMarkets/markets.csv
economics_phase_i_012,phase_i,Economics,FEDDECISION-24MAR20-C25,KXFEDDECISION,FEDDECISION-24MAR20,Will the Federal Reserve Cut rates by 25bps at their March 2024 meeting?,no,finalized,2024-01-31T19:05:00Z,2024-03-20T17:55:00Z,2024-03-20,2024-03-20T20:08:00.408598Z,133511,Research/EconomicsMarkets/markets.csv
